level,sample_scope,fe,family,outcome,label,controls,term,b,se,p,N,clusters,mean_y,status
household,mech,provyear,land-state,expand_minus_idle,Expand minus idle state,none,high-instability total,-0.21377191345773316,0.0855677947301744,0.012479921052380317,3160,139,0.011052246985750823,ok
household,mech,stackyear,land-state,expand_minus_idle,Expand minus idle state,farm_income,high-minus-low differential,0.14436396131649334,0.09906825173224197,0.14505643164047619,2756,132,0.011052246985750823,ok
household,mech,stackyear,land-state,expand_minus_idle,Expand minus idle state,farm_income,high-instability total,0.09222744072038616,0.07127767361613845,0.19569386346143136,2756,132,0.011052246985750823,ok
household,mech,provyear,land-state,expand_minus_idle,Expand minus idle state,farm_income,high-minus-low differential,0.028247985108313826,0.09043646587129818,0.7547732425731627,2750,130,0.011052246985750823,ok
household,mech,provyear,land-state,expand_minus_idle,Expand minus idle state,farm_income,high-instability total,-0.20904083854624705,0.10174516927560084,0.03992220326347415,2750,130,0.011052246985750823,ok
household,mech,stackyear,land-state,expand_minus_idle,Expand minus idle state,baseline_bundle,high-minus-low differential,0.12745424242397477,0.10282558585835243,0.2151534466156334,2528,131,0.011052246985750823,ok
household,mech,stackyear,land-state,expand_minus_idle,Expand minus idle state,baseline_bundle,high-instability total,0.08572209918068736,0.07100927756499047,0.2273567608799112,2528,131,0.011052246985750823,ok
household,mech,provyear,land-state,expand_minus_idle,Expand minus idle state,baseline_bundle,high-minus-low differential,0.02158446512760126,0.09509188371028947,0.8204351287994583,2520,128,0.011052246985750823,ok
household,mech,provyear,land-state,expand_minus_idle,Expand minus idle state,baseline_bundle,high-instability total,-0.17105554304492898,0.11380554105168032,0.1328258686938095,2520,128,0.011052246985750823,ok
household,mech,stackyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),none,high-minus-low differential,0.2762800672920769,0.14889599770982415,0.06352146396673065,3154,140,0.1235655592671544,ok
household,mech,stackyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),none,high-instability total,0.23276319401350254,0.11964517635017986,0.051721358867400945,3154,140,0.1235655592671544,ok
household,mech,provyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),none,high-minus-low differential,0.08628841618426081,0.12191153095299946,0.47907234698338197,3148,139,0.1235655592671544,ok
household,mech,provyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),none,high-instability total,-0.15132280598662068,0.14462656984436417,0.29542246258241833,3148,139,0.1235655592671544,ok
household,mech,stackyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),farm_income,high-minus-low differential,0.1994653373456459,0.14797248295176804,0.17766179447471975,2746,132,0.1235655592671544,ok
household,mech,stackyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),farm_income,high-instability total,0.10377183445789227,0.11438698518697984,0.3643012217130295,2746,132,0.1235655592671544,ok
household,mech,provyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),farm_income,high-minus-low differential,0.057518915172065685,0.14459782409920185,0.6907883196950482,2740,130,0.1235655592671544,ok
household,mech,provyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),farm_income,high-instability total,-0.19077776708592564,0.1716184614556079,0.266293416533837,2740,130,0.1235655592671544,ok
household,mech,stackyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),baseline_bundle,high-minus-low differential,0.19232309643534218,0.15758637896308897,0.22230202604359262,2522,131,0.1235655592671544,ok
household,mech,stackyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),baseline_bundle,high-instability total,0.10048534225343689,0.11833133271860548,0.3957776557441275,2522,131,0.1235655592671544,ok
household,mech,provyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),baseline_bundle,high-minus-low differential,0.049124423810882153,0.15174383022935256,0.7461404920141287,2514,128,0.1235655592671544,ok
household,mech,provyear,land-state,signed_asinh_net_rentin_abandon,signed asinh(rent-in minus abandonment),baseline_bundle,high-instability total,-0.16636700093816864,0.18580451939946896,0.37058010452927825,2514,128,0.1235655592671544,ok
household,mech,stackyear,farm-operation,rb_farm_any,Any own-farm production,none,high-minus-low differential,-0.14117704572849063,0.13466040753097663,0.29445751885808413,3344,141,0.757131360100152,ok
household,mech,stackyear,farm-operation,rb_farm_any,Any own-farm production,none,high-instability total,-0.18201702315152074,0.12889180107122214,0.15790016636199222,3344,141,0.757131360100152,ok
household,mech,provyear,farm-operation,rb_farm_any,Any own-farm production,none,high-minus-low differential,-0.2683886511933633,0.1233263676566865,0.029536788020741077,3340,141,0.757131360100152,ok
household,mech,provyear,farm-operation,rb_farm_any,Any own-farm production,none,high-instability total,-0.32773850623287826,0.16244728385092963,0.04364264799887229,3340,141,0.757131360100152,ok
household,mech,stackyear,farm-operation,rb_farm_any,Any own-farm production,farm_income,high-minus-low differential,-0.15289292237517624,0.13720726512027429,0.26514154635721654,2908,133,0.757131360100152,ok
household,mech,stackyear,farm-operation,rb_farm_any,Any own-farm production,farm_income,high-instability total,-0.2077314815349628,0.13086994596400664,0.11244191940888765,2908,133,0.757131360100152,ok
household,mech,provyear,farm-operation,rb_farm_any,Any own-farm production,farm_income,high-minus-low differential,-0.2798787396431297,0.14355345976776812,0.05121806824885203,2904,132,0.757131360100152,ok
