threshold,window,ctrlset,restriction,outcome,fespec,b,se,p,N,households,clusters,meandv,treated_hh,treated_counties,control_hh,control_counties
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_rentin,hh_year,.0863394559871546,.07660266,.2619271,2512,1256,122,.1468949044585987,41,3,1215,119
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_abandon,hh_provyear,-.1650671699833922,.18935634,.38508335,2518,1259,122,.2040172932758549,42,3,1217,119
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_abandon,hh_year,-.0744792105747269,.19730532,.70647669,2518,1259,122,.2040172932758549,42,3,1217,119
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_land_total,hh_provyear,-.146905372177267,.15055546,.3311322,2402,1201,122,1.972693581542667,41,3,1160,119
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_land_total,hh_year,-.0641135350540306,.10081106,.52599239,2402,1201,122,1.972693581542667,41,3,1160,119
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_rentin,hh_provyear,.1783353339877023,.10895963,.10428941,2512,1256,122,.2818946842930974,41,3,1215,119
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_rentin,hh_year,.1821851576989398,.095335446,.058371477,2512,1256,122,.2818946842930974,41,3,1215,119
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_abandon,hh_provyear,-.1365358714195947,.1227724,.26837265,2450,1225,118,.1261224489795919,55,4,1170,114
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_abandon,hh_year,-.0538461538461561,.13518985,.69113475,2450,1225,118,.1261224489795919,55,4,1170,114
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_rentin,hh_provyear,.0989283802482617,.061574299,.1108266,2442,1221,118,.147010647010647,54,4,1167,114
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_rentin,hh_year,.0852137484528224,.05877585,.14978714,2442,1221,118,.147010647010647,54,4,1167,114
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_abandon,hh_provyear,-.1873071375229152,.15056032,.2159615,2448,1224,118,.2006673812537444,55,4,1169,114
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_abandon,hh_year,-.0483126563112667,.16013423,.76341558,2448,1224,118,.2006673812537444,55,4,1169,114
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_land_total,hh_provyear,-.209552120467457,.12836292,.10526329,2332,1166,118,1.995359632316418,52,4,1114,114
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_land_total,hh_year,-.0888084512961502,.090167999,.32669476,2332,1166,118,1.995359632316418,52,4,1114,114
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_rentin,hh_provyear,.1750654295761274,.083399534,.037956718,2442,1221,118,.2854435138288923,54,4,1167,114
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_rentin,hh_year,.1685635689880594,.077566087,.031783693,2442,1221,118,.2854435138288923,54,4,1167,114
completed_t,w12_14_c2016,never_plus_next,full,any_abandon,hh_provyear,-.1093175370830761,.09106265,.23194359,2882,1441,144,.1197085357390701,135,13,1306,131
completed_t,w12_14_c2016,never_plus_next,full,any_abandon,hh_year,-.0763371334581161,.057044089,.18295102,2882,1441,144,.1197085357390701,135,13,1306,131
completed_t,w12_14_c2016,never_plus_next,full,any_rentin,hh_provyear,.0596121558853041,.052982051,.2624152,2872,1436,144,.1417130919220056,133,13,1303,131
completed_t,w12_14_c2016,never_plus_next,full,any_rentin,hh_year,.0280844090271729,.046104215,.54339117,2872,1436,144,.1417130919220056,133,13,1303,131
completed_t,w12_14_c2016,never_plus_next,full,asinh_abandon,hh_provyear,-.1442637386329714,.11451986,.20982005,2880,1440,144,.1887202627579353,135,13,1305,131
completed_t,w12_14_c2016,never_plus_next,full,asinh_abandon,hh_year,-.1051945199420917,.070947826,.14035393,2880,1440,144,.1887202627579353,135,13,1305,131
completed_t,w12_14_c2016,never_plus_next,full,asinh_land_total,hh_provyear,-.2848678431996512,.11527489,.014640248,2762,1381,144,2.015767986519925,138,13,1243,131
completed_t,w12_14_c2016,never_plus_next,full,asinh_land_total,hh_year,-.1636386562058443,.073498368,.027549636,2762,1381,144,2.015767986519925,138,13,1243,131
