threshold,window,ctrlset,restriction,outcome,fespec,b,se,p_cluster,p_wild,N,households,clusters,treated_hh,treated_counties,control_hh,control_counties
completed_t,w14_16_c2018,never_only,drop_adminstart2014,any_rentin,hh_year,-.0597562072688017,.097737581,.54153973,.17117117,4608,3702,232,406,27,3296,205
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_rentin,hh_provyear,-.0694279915698285,.22241415,.75520331,.51951951,4602,3699,232,406,27,3293,205
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_rentin,hh_year,-.1052857039285238,.18502674,.56988883,.1991992,4602,3699,232,406,27,3293,205
completed_t,w14_16_c2018,never_only,drop_official2014prov,any_rentin,hh_provyear,-.058512675193383,.13311024,.66067046,.35835835,4443,3586,222,406,27,3180,195
completed_t,w14_16_c2018,never_only,drop_official2014prov,any_rentin,hh_year,-.0540388302972196,.099188447,.58643371,.22722723,4443,3586,222,406,27,3180,195
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_rentin,hh_provyear,-.0694279915698279,.22476558,.75769567,.51951951,4437,3583,222,406,27,3177,195
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_rentin,hh_year,-.1000840283069991,.18857133,.59612572,.23123123,4437,3583,222,406,27,3177,195
completed_t,w14_16_c2018,never_only,full,any_rentin,hh_provyear,-.058512675193383,.13404176,.66283208,.36136135,4854,3931,251,406,27,3525,224
completed_t,w14_16_c2018,never_only,full,any_rentin,hh_year,-.0631385414831777,.099222817,.52514291,.16216215,4854,3931,251,406,27,3525,224
completed_t,w14_16_c2018,never_only,full,asinh_rentin,hh_provyear,-.0694279915698292,0,,.4954955,4848,3928,251,406,27,3522,224
completed_t,w14_16_c2018,never_only,full,asinh_rentin,hh_year,-.1119049081190109,.18779881,.55179679,.17317317,4848,3928,251,406,27,3522,224
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,hh_provyear,.0844101131675361,0,,.43043044,2797,1740,131,351,21,1389,110
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,hh_year,.048043956043956,.057223085,.40267941,.2092092,2797,1740,131,351,21,1389,110
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,hh_provyear,.2209129477492197,0,,.1051051,2797,1740,131,351,21,1389,110
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,hh_year,.1639270906096872,.11163457,.14440413,.045045044,2797,1740,131,351,21,1389,110
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,hh_provyear,.0898568132925905,0,,.3043043,2748,1724,130,365,22,1359,108
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,hh_year,.050069592651016,.055476714,.36845568,.16916917,2748,1724,130,365,22,1359,108
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,hh_provyear,.212824372406629,0,,.055055056,2748,1724,130,365,22,1359,108
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,hh_year,.160772084621755,.10916299,.14324853,.037037037,2748,1724,130,365,22,1359,108
high_sat80_t,w12_14_c2016,never_only,full,any_rentin,hh_provyear,.057276207603217,0,,.3983984,3300,2063,162,564,41,1499,121
high_sat80_t,w12_14_c2016,never_only,full,any_rentin,hh_year,.0293215916503588,.04730523,.53624052,.34534535,3300,2063,162,564,41,1499,121
high_sat80_t,w12_14_c2016,never_only,full,asinh_rentin,hh_provyear,.1557959996166788,0,,.094094098,3300,2063,162,564,41,1499,121
high_sat80_t,w12_14_c2016,never_only,full,asinh_rentin,hh_year,.1126152218740077,.089127623,.20822613,.05105105,3300,2063,162,564,41,1499,121
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_rentin,hh_provyear,.0844101131675361,0,,.44544545,3630,2374,183,351,21,2023,162
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_rentin,hh_year,.0442323040088403,.058920059,.45379233,.21821822,3630,2374,183,351,21,2023,162
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_rentin,hh_provyear,.2209129477492197,0,,.11211211,3630,2374,183,351,21,2023,162
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_rentin,hh_year,.1428205683607361,.1128395,.20723957,.054054055,3630,2374,183,351,21,2023,162
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_rentin,hh_provyear,.0898568132925905,0,,.32732734,3532,2311,177,365,22,1946,155
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_rentin,hh_year,.0453891138101664,.056546636,.42323965,.1911912,3532,2311,177,365,22,1946,155
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_rentin,hh_provyear,.2128243724066292,0,,.067067064,3532,2311,177,365,22,1946,155
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_rentin,hh_year,.1391782870222103,.10866985,.2019687,.048048049,3532,2311,177,365,22,1946,155
high_sat80_t,w12_14_c2016,never_plus_next,full,any_rentin,hh_provyear,.0572762076032171,.094945937,.54698372,.38238239,4133,2697,214,564,41,2133,173
high_sat80_t,w12_14_c2016,never_plus_next,full,any_rentin,hh_year,.0260082383370054,.048361152,.59128213,.37537539,4133,2697,214,564,41,2133,173
high_sat80_t,w12_14_c2016,never_plus_next,full,asinh_rentin,hh_provyear,.155795999616679,.14356941,.27907678,.074074075,4133,2697,214,564,41,2133,173
high_sat80_t,w12_14_c2016,never_plus_next,full,asinh_rentin,hh_year,.0935709039304512,.088678055,.29254046,.087087087,4133,2697,214,564,41,2133,173
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,any_rentin,hh_provyear,0,0,,,1366,985,73,351,21,634,52
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,any_rentin,hh_year,.0274725274725275,.093566008,.76989561,.5935936,1366,985,73,351,21,634,52
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_rentin,hh_provyear,0,0,,,1366,985,73,351,21,634,52
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_rentin,hh_year,.0500155082208759,.16308288,.75996631,.55355358,1366,985,73,351,21,634,52
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,any_rentin,hh_provyear,0,0,,,1344,952,69,365,22,587,47
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,any_rentin,hh_year,.0256930886372511,.089684963,.77538037,.5985986,1344,952,69,365,22,587,47
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,asinh_rentin,hh_provyear,0,0,,,1344,952,69,365,22,587,47
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,asinh_rentin,hh_year,.0483089560068672,.15584932,.75753009,.5885886,1344,952,69,365,22,587,47
high_sat80_t,w12_14_c2016,next_only,full,any_rentin,hh_provyear,0,0,,,1689,1198,93,564,41,634,52
