threshold,window,ctrlset,restriction,outcome,treated_pre,treated_post,treated_change,control_pre,control_post,control_change,diff_change,se,p,treated_hh,control_hh
completed_t,w12_14_c2016,next_only,drop_adminstart2014,any_abandon,.1904761904761905,.16666667,-.023809524,.093333334,.18666667,.093333334,-.11714286,.17568602,.51865774,42,75
completed_t,w12_14_c2016,next_only,drop_adminstart2014,any_rentin,.2926829268292683,.36585367,.073170729,.16455697,.20253165,.037974682,.035196047,.11726429,.76966423,41,79
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_abandon,.1989926134135813,.19891542,-.000077196171,.13347304,.19606613,.062593088,-.062670283,.20670679,.76740628,42,75
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_land_total,1.461663057070224,1.6318308,.17016773,1.7407856,1.9448123,.20402671,-.033858981,.22549626,.88336164,41,74
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_rentin,.4158707536601169,.56338346,.1475127,.27512246,.41626316,.1411407,.0063720108,.17529823,.97165489,41,79
completed_t,w12_14_c2016,next_only,drop_official2014prov,any_abandon,.1454545454545454,.14545454,0,.093333334,.18666667,.093333334,-.093333334,.14200306,.52341872,55,75
completed_t,w12_14_c2016,next_only,drop_official2014prov,any_rentin,.2222222222222222,.2962963,.074074075,.16455697,.20253165,.037974682,.036099389,.10498144,.73689836,54,79
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_abandon,.1519579956976439,.17814696,.026188968,.13347304,.19606613,.062593088,-.036404122,.16720289,.83130223,55,75
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_land_total,1.668607974227445,1.8188249,.15021697,1.7407856,1.9448123,.20402671,-.053809747,.21916352,.8102001,52,74
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_rentin,.3157537203715702,.4544881,.13873439,.27512246,.41626316,.1411407,-.0024063177,.16456401,.98857373,54,79
