scope,threshold,outcome,event,b,se,p,N,households,clusters,meandv,cohort2016_hh,cohort2018_hh,never_hh
mech,completed_t,any_abandon,rt_m4,.1081323663494706,.093606927,.24801885,771,358,41,.0985732814526589,221,137,0
mech,completed_t,any_abandon,rt_p2,0,0,,771,358,41,.0985732814526589,221,137,0
mech,completed_t,any_rentin,rt_0,.0034644211897788,.030326739,.90905029,760,353,41,.1473684210526316,218,135,0
mech,completed_t,any_rentin,rt_m4,.094235333469396,.097421519,.33339667,760,353,41,.1473684210526316,218,135,0
mech,completed_t,any_rentin,rt_p2,0,0,,760,353,41,.1473684210526316,218,135,0
mech,completed_t,asinh_abandon,rt_0,-.0709007463035333,.053089436,.18171397,769,357,41,.115492651845069,220,137,0
mech,completed_t,asinh_abandon,rt_m4,.1015397518157733,.11834521,.3908945,769,357,41,.115492651845069,220,137,0
mech,completed_t,asinh_abandon,rt_p2,0,0,,769,357,41,.115492651845069,220,137,0
mech,completed_t,asinh_land_total,rt_0,.0217694687257734,.10979465,.84283036,743,345,41,2.171881123246907,215,130,0
mech,completed_t,asinh_land_total,rt_m4,.783446818374784,.50543177,.1211284,743,345,41,2.171881123246907,215,130,0
mech,completed_t,asinh_land_total,rt_p2,0,0,,743,345,41,2.171881123246907,215,130,0
mech,completed_t,asinh_rentin,rt_0,.011919086220213,.066252775,.85722858,758,352,41,.3119338433956948,217,135,0
mech,completed_t,asinh_rentin,rt_m4,.1838677194719261,.18150707,.31105739,758,352,41,.3119338433956948,217,135,0
mech,completed_t,asinh_rentin,rt_p2,0,0,,758,352,41,.3119338433956948,217,135,0
mech,high_sat80_t,any_abandon,rt_0,-.0428776420768308,.032947283,.19312109,809,376,44,.0976514215080346,221,155,0
mech,high_sat80_t,any_abandon,rt_m4,.1074192490393586,.084693447,.20468009,809,376,44,.0976514215080346,221,155,0
mech,high_sat80_t,any_abandon,rt_p2,0,0,,809,376,44,.0976514215080346,221,155,0
mech,high_sat80_t,any_rentin,rt_0,.0070781944643473,.0275204,.79702586,798,371,44,.1428571428571428,218,153,0
mech,high_sat80_t,any_rentin,rt_m4,.0622235328145803,.089233056,.48560578,798,371,44,.1428571428571428,218,153,0
mech,high_sat80_t,any_rentin,rt_p2,0,0,,798,371,44,.1428571428571428,218,153,0
mech,high_sat80_t,asinh_abandon,rt_0,-.0618856464424372,.048987061,.20647922,805,374,44,.1114226370880467,220,154,0
mech,high_sat80_t,asinh_abandon,rt_m4,.1048120434520705,.11033845,.3421559,805,374,44,.1114226370880467,220,154,0
mech,high_sat80_t,asinh_abandon,rt_p2,0,0,,805,374,44,.1114226370880467,220,154,0
mech,high_sat80_t,asinh_land_total,rt_0,.0093842610229179,.10668386,.92990589,781,363,44,2.144437160291096,215,148,0
mech,high_sat80_t,asinh_land_total,rt_m4,.5406296714363993,.46192136,.24184273,781,363,44,2.144437160291096,215,148,0
mech,high_sat80_t,asinh_land_total,rt_p2,0,0,,781,363,44,2.144437160291096,215,148,0
mech,high_sat80_t,asinh_rentin,rt_0,.0208579881396597,.061006643,.73242843,794,369,44,.3000809820568875,217,152,0
mech,high_sat80_t,asinh_rentin,rt_m4,.1471780733560051,.17030969,.38748953,794,369,44,.3000809820568875,217,152,0
mech,high_sat80_t,asinh_rentin,rt_p2,0,0,,794,369,44,.3000809820568875,217,152,0
mech,signoff_or_issue,any_abandon,rt_0,-.114914715862411,.038747195,.0030194032,553,256,27,.0650994575045208,191,65,0
mech,signoff_or_issue,any_abandon,rt_m4,.1330247848514353,.13644338,.32958752,553,256,27,.0650994575045208,191,65,0
mech,signoff_or_issue,any_abandon,rt_p2,0,0,,553,256,27,.0650994575045208,191,65,0
mech,signoff_or_issue,any_rentin,rt_0,-.0279335034235515,.048205122,.56227094,544,252,27,.1617647058823529,189,63,0
mech,signoff_or_issue,any_rentin,rt_m4,.1191021013964681,.14365934,.40707088,544,252,27,.1617647058823529,189,63,0
mech,signoff_or_issue,any_rentin,rt_p2,0,0,,544,252,27,.1617647058823529,189,63,0
mech,signoff_or_issue,asinh_abandon,rt_0,-.1607853401320654,.058427282,.0059252777,553,256,27,.0781242079016828,191,65,0
mech,signoff_or_issue,asinh_abandon,rt_m4,.1779330813118388,.14452389,.21826032,553,256,27,.0781242079016828,191,65,0
mech,signoff_or_issue,asinh_abandon,rt_p2,0,0,,553,256,27,.0781242079016828,191,65,0
mech,signoff_or_issue,asinh_land_total,rt_0,.2932304627503997,.25287095,.24620959,529,245,27,2.273102785310413,185,60,0
mech,signoff_or_issue,asinh_land_total,rt_m4,1.145589171684134,.66802371,.086364843,529,245,27,2.273102785310413,185,60,0
mech,signoff_or_issue,asinh_land_total,rt_p2,0,0,,529,245,27,2.273102785310413,185,60,0
mech,signoff_or_issue,asinh_rentin,rt_0,-.0368581136878764,.12702571,.77169186,544,252,27,.3351353371265584,189,63,0
mech,signoff_or_issue,asinh_rentin,rt_m4,.1803135209099651,.23534594,.4435789,544,252,27,.3351353371265584,189,63,0
mech,signoff_or_issue,asinh_rentin,rt_p2,0,0,,544,252,27,.3351353371265584,189,63,0
