sample_scope,threshold,outcome,weight_spec,lower_b,lower_se,lower_p,diff_b,diff_se,diff_p,high_total_b,high_total_se,high_total_p,N,households,clusters,meandv
mech,completed_t,asinh_rentin,county_bal,-.023235301477851,.077036157,.76339918,.44416338,.17311645,.011364415,.42092809,.15516216,.0075211623,3018,1509,139,.2931556382874959
mech,completed_t,asinh_rentin,unweighted,-.0950798517141425,.088666543,.28544319,.46657214,.16005264,.0041503147,.3714923,.13347198,.0061357827,3018,1509,139,.2931556382874959
mech,high_sat80_t,any_rentin,a3_ipw_prov,-.0373858684174865,.04796011,.43709022,.15287395,.0579894,.0094038043,.11548808,.033094812,.00066094019,2670,1335,131,.1382022471910112
mech,high_sat80_t,any_rentin,a3_ipw_simple,-.0507813226215667,.054511972,.35328934,.16062044,.06357757,.012724707,.10983912,.033168379,.0012013828,2670,1335,131,.1382022471910112
mech,high_sat80_t,any_rentin,a3_overlap,-.1805900310116685,.13133043,.1718507,.1600415,.13127989,.22537279,-.020548528,.042645678,.63085759,2438,1219,113,.1390484003281378
mech,high_sat80_t,any_rentin,a3_simple_x_county,-.0024548010898912,.045034964,.95661348,.12112611,.073443487,.1015124,.11867131,.058310233,.043866381,2670,1335,131,.1382022471910112
mech,high_sat80_t,any_rentin,county_bal,-.0085401420761254,.040692583,.83407885,.1832974,.065893874,.0061643156,.17475726,.051999588,.0010056394,3024,1512,139,.1402116402116402
mech,high_sat80_t,any_rentin,unweighted,-.0437577286157909,.049607392,.37926695,.20998295,.061743081,.00087872683,.16622521,.036875464,.000013859674,3024,1512,139,.1402116402116402
mech,high_sat80_t,asinh_rentin,a3_ipw_prov,-.0984157385413681,.089535654,.27372128,.34524357,.12624682,.0071160081,.24682783,.090066805,.0069979476,2664,1332,131,.2761146246706699
mech,high_sat80_t,asinh_rentin,a3_ipw_simple,-.1109606447414905,.097930111,.2592746,.34653941,.13277607,.010117941,.23557875,.090717062,.010491836,2664,1332,131,.2761146246706699
mech,high_sat80_t,asinh_rentin,a3_overlap,-.3592442428962275,.20629643,.084359542,.3561427,.21265826,.09677963,-.0031015412,.073073454,.9662202,2432,1216,113,.2801034614631017
mech,high_sat80_t,asinh_rentin,a3_simple_x_county,-.0226174084100812,.08386942,.78783858,.34567031,.19157763,.073493846,.32305291,.17278408,.063776113,2664,1332,131,.2761146246706699
mech,high_sat80_t,asinh_rentin,county_bal,-.0211890553642935,.075701691,.77997178,.43452436,.17005108,.011694547,.41333529,.15233271,.0075094439,3018,1509,139,.2931556382874959
mech,high_sat80_t,asinh_rentin,unweighted,-.091573328711491,.08696688,.29419592,.4551743,.15507732,.0039064805,.36360097,.12858257,.0053856312,3018,1509,139,.2931556382874959
