spec,instrument_label,controls,model,scope,anchor,N_any_rentin,N_asinh_rentin,clusters_any_rentin,clusters_asinh_rentin,first_stage_f_any_rentin,first_stage_f_asinh_rentin,iv_diff_b_any_rentin,iv_diff_b_asinh_rentin,iv_diff_p_any_rentin,iv_diff_p_asinh_rentin,balance_core_min_p,both_positive,both_p10,both_p05,first_stage_min,clusters_min,score
official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,baseline_bundle,interaction_iv,mech,completed_t,2532,2526,128,128,11.463409477907687,11.464400875082523,0.2617667343656379,0.5479211947003984,0.047875363841904495,0.01820670289522175,0.18373984531230667,True,True,True,11.463409477907687,128,10
official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,farm_income,interaction_iv,mech,completed_t,2772,2766,130,130,10.333934395484155,10.334799623592405,0.24646413683118512,0.5299055221123166,0.02671023713219567,0.012428562045818436,0.18373984531230667,True,True,True,10.333934395484155,130,10
official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,baseline_bundle,interaction_iv,mech,completed_t,2532,2526,128,128,11.402207518366874,11.403101746603978,0.24907259579152127,0.47043969528203444,0.07020381154430999,0.03524973200430237,0.19318476751741095,True,True,False,11.402207518366874,128,9
official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,farm_income,interaction_iv,mech,completed_t,2772,2766,130,130,10.083049102736219,10.08410032968476,0.17831912225129842,0.39604798711325795,0.08373704940659876,0.03336364455718699,0.19318476751741095,True,True,False,10.083049102736219,130,9
official_x_survey_cost,Official schedule x raw survey-cost index,baseline_bundle,interaction_iv,mech,completed_t,2532,2526,128,128,7.468629066684749,7.469125013615949,0.24296154442688056,0.3624391089006778,0.14218070884249356,0.1403930742493109,0.10933661996123344,True,False,False,7.468629066684749,128,5
official_x_survey_cost,Official schedule x raw survey-cost index,farm_income,interaction_iv,mech,completed_t,2772,2766,130,130,6.6304856033706425,6.631420207030425,0.07238829187542609,0.18299641549512777,0.552500422946578,0.36995606089024813,0.10933661996123344,True,False,False,6.6304856033706425,130,5
