bundle,bundle_label,outcome,anchor,controls,stress,blocks,N,clusters,n_exog,n_instruments,dropped_exog,dropped_instr,ols_b,ols_se,ols_p,iv_b,iv_se,iv_p,first_stage_f,first_stage_p,partial_r2,ar_zero_stat,ar_zero_p,sargan_p,basmann_p,wooldridge_overid_p,status
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,baseline,none,2772.0,130.0,4.0,1.0,,,0.11752845247599548,0.060613244013228484,0.052502599092824065,0.19537305792653875,0.11636677476851946,0.0931633608132103,7.662235952051252,0.005638857921982043,0.22025964776488416,3.1654218861780907,0.07521300075590572,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,lower_order_Z,lower_order_z,2772.0,130.0,5.0,1.0,,,0.1082934977654632,0.06238756327140453,0.08259589997625061,0.08733777428971845,0.126172536861582,0.4888060441617532,7.453006233452728,0.006333058772217792,0.24954270707602177,0.4232187358588428,0.5153353116183608,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,direct_geo_main_trends,geo_main,2772.0,130.0,7.0,1.0,,,0.11489498382976063,0.0621953700900331,0.06470023393888713,0.199001648537104,0.12184115314709541,0.10240851670517626,8.564328771231116,0.003428133414022372,0.2519544023123804,2.6857961799626087,0.1012466094390842,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,direct_geo_dev_main_trends,geo_dev_main,2772.0,130.0,8.0,1.0,,,0.11616280831694988,0.0635041485858505,0.0673672478412839,0.20703719477340918,0.12645138442814863,0.10157053754303313,8.578425303330546,0.0034016942742098877,0.2516947212251801,2.7567125380243946,0.09684706473120692,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,channel_rent_main,channel_rent_imp_main,2772.0,130.0,7.0,1.0,"BMrent_b14_asinh_rentin_miss,BIrent_b14_any_rentout_imp,BMrent_b14_any_rentout_miss,BIrent_b14_asinh_rentout_imp,BMrent_b14_asinh_rentout_miss",,0.080709944304386,0.06090118924521194,0.18508474458582436,0.0005263124222130156,0.1379180469297447,0.9969551806601766,7.731690540865143,0.005425992279617153,0.219804651677729,1.4404925353168605e-05,0.9969717304832316,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,channel_land_main,channel_land_imp_main,2772.0,130.0,6.0,1.0,"BIland_b14_contract_land_mu_imp,BMland_b14_contract_land_mu_miss",,0.11914501191483234,0.06202516658825192,0.05474254830956915,0.19538320028193507,0.11593208406573009,0.09192595027431882,7.738860842759074,0.005404488433745969,0.22001251910279307,3.1488686049871175,0.07597962737654394,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,channel_labor_cost_main,channel_labor_cost_imp_main,2772.0,130.0,8.0,1.0,"BMlabor_cost_b14_nonfarm_n_miss,BMlabor_cost_b14_nonfarm_any_miss",,0.11227791691885715,0.06065014867711211,0.06413518608105218,0.1918143071400972,0.11532920201830663,0.09627452735007158,7.755571018762839,0.005354710903184623,0.2209933871756592,3.1176055542450594,0.0774505153621706,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,channel_gov_mobility_main,channel_gov_mobility_imp_main,2772.0,130.0,7.0,1.0,BMgov_mobility_b14_mobility_ease_miss,,0.12089782685932905,0.06061073283194108,0.04607993428620416,0.19480653381731688,0.11741626871561757,0.09709358013407066,7.658289966550636,0.005651204279182975,0.22201510027333293,3.0554165024967386,0.08046836135620908,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,geo_dev_main_plus_rent,"geo_dev_main,channel_rent_imp_main",2772.0,130.0,11.0,1.0,"BMrent_b14_asinh_rentin_miss,BIrent_b14_any_rentout_imp,BMrent_b14_any_rentout_miss,BIrent_b14_asinh_rentout_imp,BMrent_b14_asinh_rentout_miss",,0.0821975217121255,0.06846750377451419,0.22993226823624524,0.04879209595233913,0.1364119380232955,0.7205812988085183,8.645642816569717,0.00327844447627601,0.25120570640483997,0.12289517941387788,0.7259154027128916,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,geo_dev_main_plus_land,"geo_dev_main,channel_land_imp_main",2772.0,130.0,10.0,1.0,"BIland_b14_contract_land_mu_imp,BMland_b14_contract_land_mu_miss",,0.11811052742813481,0.0649812498896094,0.06912386141877547,0.20875099871486594,0.12489384776285087,0.0946372884353952,8.644224822993891,0.003280997059890156,0.25148484818405525,2.8774698675312225,0.08982706206221279,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,geo_dev_main_plus_labor_cost,"geo_dev_main,channel_labor_cost_imp_main",2772.0,130.0,12.0,1.0,"BMlabor_cost_b14_nonfarm_n_miss,BMlabor_cost_b14_nonfarm_any_miss",,0.1114123301039338,0.06366302507381234,0.0801127948225484,0.20623467880539503,0.12750453017552046,0.10577699086860393,8.65657999739946,0.003258823743598871,0.2478150757154498,2.6840012092621692,0.1013607618703213,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,geo_dev_main_plus_gov_mobility,"geo_dev_main,channel_gov_mobility_imp_main",2772.0,130.0,11.0,1.0,BMgov_mobility_b14_mobility_ease_miss,,0.11937521638313721,0.06332208851530201,0.059401956102150155,0.19100645025968999,0.12598375828457495,0.12948910297390692,8.746431665859722,0.0031020846307396877,0.26003558218093226,2.2468477974130883,0.13388688976896407,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,baseline_channels_imputed_main,baseline_channels_imp_main,2772.0,130.0,16.0,1.0,"BM_b14_asinh_rentin_miss,BI_b14_any_rentout_imp,BM_b14_any_rentout_miss,BI_b14_asinh_rentout_imp,BM_b14_asinh_rentout_miss,BI_b14_contract_land_mu_imp,BM_b14_contract_land_mu_miss,BM_b14_nonfarm_n_miss,BM_b14_nonfarm_any_miss,BM_b14_mobility_ease_miss",,0.08213395788806281,0.05960120603476509,0.1681851789951172,0.013547933228582535,0.13077624311718927,0.9174897342707498,7.881733345393754,0.004993659517998128,0.22195955122816302,0.010403723865686667,0.9187577495045981,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,geo_dev_main_plus_channels_main,"geo_dev_main,baseline_channels_imp_main",2772.0,130.0,20.0,1.0,"BM_b14_asinh_rentin_miss,BI_b14_any_rentout_imp,BM_b14_any_rentout_miss,BI_b14_asinh_rentout_imp,BM_b14_asinh_rentout_miss,BI_b14_contract_land_mu_imp,BM_b14_contract_land_mu_miss,BM_b14_nonfarm_n_miss,BM_b14_nonfarm_any_miss,BM_b14_mobility_ease_miss",,0.08381105657808038,0.0668162102206485,0.20971403855589532,0.03737084986698172,0.13292927776375368,0.7786081417056521,8.958451261754263,0.0027618892903027437,0.255467104800598,0.07539183149391662,0.7836422145643254,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,geo_dev_main_channels_main_plus_Z,"lower_order_z,geo_dev_main,baseline_channels_imp_main",2772.0,130.0,21.0,1.0,"BM_b14_asinh_rentin_miss,BI_b14_any_rentout_imp,BM_b14_any_rentout_miss,BI_b14_asinh_rentout_imp,BM_b14_asinh_rentout_miss,BI_b14_contract_land_mu_imp,BM_b14_contract_land_mu_miss,BM_b14_nonfarm_n_miss,BM_b14_nonfarm_any_miss,BM_b14_mobility_ease_miss",,0.08552015626839679,0.06708768194705701,0.20239703757305083,0.05269861320755076,0.12709012029535002,0.6783941370449058,7.4968034028284976,0.006180860478732009,0.2722742396163925,0.15811215712056328,0.6909005884134638,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,direct_geo_trends,geo_direct,2772.0,130.0,10.0,1.0,,,0.1073995880714461,0.05691528191008162,0.05915925960316448,0.07631856858732072,0.11338406205903337,0.5008850405731242,16.781856366778005,4.193232310734096e-05,0.3450659593342633,0.4079765111341726,0.5229983391857749,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,direct_geo_trends_plus_Z,"lower_order_z,geo_direct",2772.0,130.0,11.0,1.0,,,0.10429925254673279,0.057978182872378756,0.07202822619669669,0.0384845082040568,0.11795086744132459,0.744215730899531,16.854825887793808,4.035059869722524e-05,0.36286488554887575,0.09904682913293325,0.7529764884549782,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,direct_geo_dev_trends_plus_Z,"lower_order_z,geo_dev_direct",2772.0,130.0,13.0,1.0,,,0.09896241357140775,0.05945084369949855,0.09599077488024377,0.025020223093938837,0.11986378854392743,0.8346521511405656,17.241359391198046,3.291912484915116e-05,0.3586503711015929,0.041414383646514064,0.8387401486451314,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,baseline_channels_plus_Z,"lower_order_z,baseline_channels",,,,,,,,,,,,,,,,,,,,,error: too few observations
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,farm_income,full_exclusion_controls,"lower_order_z,geo_dev_direct,baseline_channels",,,,,,,,,,,,,,,,,,,,,error: too few observations
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,baseline_bundle,baseline,none,2532.0,128.0,10.0,1.0,,,0.10788312833093061,0.06418620543788198,0.0928049344380304,0.296009032752248,0.16334988869196718,0.0699681934393852,8.584647842811899,0.0033900894536121884,0.21881370822899704,5.555898358689758,0.018418518225848866,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,baseline_bundle,lower_order_Z,lower_order_z,2532.0,128.0,11.0,1.0,,,0.09411361729947162,0.06689154086323967,0.15943971583830607,0.1442354844554341,0.14096099537024093,0.3061992285009283,7.962537037068698,0.004775542902202723,0.24619951746472402,1.0483271559196785,0.30589267265256936,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,baseline_bundle,direct_geo_main_trends,geo_main,2532.0,128.0,13.0,1.0,,,0.10165399504803461,0.06540533567288324,0.12013299024627377,0.2449673012980892,0.14234132553768028,0.08525352651161078,9.133428058837353,0.0025098100720546412,0.24356162535400439,3.762575371836963,0.05241179395028836,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,baseline_bundle,direct_geo_dev_main_trends,geo_dev_main,2532.0,128.0,14.0,1.0,,,0.10178344195261788,0.0653235045381747,0.11919906088139665,0.24626804336546487,0.14474507943290468,0.08886950212017708,9.140513530153495,0.002500109217840274,0.2432831390756135,3.6880268616179905,0.05480441301132902,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,baseline_bundle,channel_rent_main,channel_rent_imp_main,2532.0,128.0,13.0,1.0,"BMrent_b14_asinh_rentin_miss,BIrent_b14_any_rentout_imp,BMrent_b14_any_rentout_miss,BIrent_b14_asinh_rentout_imp,BMrent_b14_asinh_rentout_miss",,0.06987629661026074,0.06204233429579423,0.260052092523553,0.1090378634849124,0.11766928182578953,0.35410994752492897,8.661894358124565,0.0032493331805523162,0.2183658033077711,0.8748407678927019,0.34961865615325916,,,,ok
geo_area_rugged,official schedule x terrain-area survey difficulty,any_rentin,completed_t,baseline_bundle,channel_land_main,channel_land_imp_main,2532.0,128.0,10.0,1.0,"BIland_b14_land_total_mu_imp,BMland_b14_land_total_mu_miss,BIland_b14_contract_land_mu_imp,BMland_b14_contract_land_mu_miss",,0.10788312833093061,0.06418620543788198,0.0928049344380304,0.296009032752248,0.16334988869196718,0.0699681934393852,8.584647842811899,0.0033900894536121884,0.21881370822899704,5.555898358689758,0.018418518225848866,,,,ok
