bundle,outcome,stress,N,clusters,n_exog,n_instruments,iv_b,iv_se,iv_p,first_stage_f,partial_r2,ar_zero_p,sargan_p,wooldridge_overid_p
geo_area_rugged,any_rentin,baseline,2532.0,128.0,10.0,1.0,0.296009032752248,0.1633498886919671,0.0699681934393852,8.584647842811899,0.218813708228997,0.0184185182258488,,
geo_area_rugged,asinh_rentin,baseline,2526.0,128.0,10.0,1.0,0.5278394567159304,0.2518124982357797,0.0360679399481658,8.585920432364002,0.2188219924214952,0.0064877171456527,,
geo_area_rugged,any_rentin,channel_gov_mobility_main,2532.0,128.0,13.0,1.0,0.2973185636949199,0.1654753253391122,0.0723745754875877,8.61261380309811,0.221918460870334,0.0207027836200202,,
geo_area_rugged,asinh_rentin,channel_gov_mobility_main,2526.0,128.0,13.0,1.0,0.5308147198594142,0.2656591707903132,0.0457053584127156,8.614066914426562,0.2219342878868748,0.0110113382106732,,
geo_area_rugged,any_rentin,channel_labor_cost_main,2532.0,128.0,14.0,1.0,0.2892464281085604,0.1585332639916155,0.0680741459711304,8.619299270446763,0.2189642967630222,0.0208191055532725,,
geo_area_rugged,asinh_rentin,channel_labor_cost_main,2526.0,128.0,14.0,1.0,0.502921887476136,0.2356320798688328,0.0328139475830349,8.615214820457597,0.2189566098498564,0.0085178189876966,,
geo_area_rugged,any_rentin,channel_rent_main,2532.0,128.0,13.0,1.0,0.1090378634849124,0.1176692818257895,0.3541099475249289,8.661894358124565,0.2183658033077711,0.3496186561532591,,
geo_area_rugged,asinh_rentin,channel_rent_main,2526.0,128.0,13.0,1.0,0.2803619230346208,0.2331118793765177,0.2290953139669405,8.663382503349728,0.218378412664283,0.221514109307652,,
geo_area_rugged,any_rentin,direct_geo_dev_main_trends,2532.0,128.0,14.0,1.0,0.2462680433654648,0.1447450794329046,0.088869502120177,9.140513530153497,0.2432831390756135,0.054804413011329,,
geo_area_rugged,asinh_rentin,direct_geo_dev_main_trends,2526.0,128.0,14.0,1.0,0.4595360147605977,0.260311586571515,0.0775082160807418,9.141282485678309,0.2433533292314508,0.0496153773651389,,
geo_area_rugged,any_rentin,direct_geo_main_trends,2532.0,128.0,13.0,1.0,0.2449673012980892,0.1423413255376802,0.0852535265116107,9.133428058837351,0.2435616253540043,0.0524117939502883,,
geo_area_rugged,asinh_rentin,direct_geo_main_trends,2526.0,128.0,13.0,1.0,0.4434461629654023,0.2510394714407525,0.0773220599832922,9.134462330888582,0.2436431511018301,0.0500990166655723,,
geo_area_rugged,any_rentin,direct_geo_trends_plus_Z,2532.0,128.0,17.0,1.0,0.0018501971402428,0.1217260112443982,0.9878728722263714,18.395344632863942,0.3542851867242865,0.9879772415323834,,
geo_area_rugged,asinh_rentin,direct_geo_trends_plus_Z,2526.0,128.0,17.0,1.0,0.099160358993523,0.1966511970262187,0.6140893068795248,18.42589033122861,0.3545041026939386,0.629509900644702,,
geo_area_rugged,any_rentin,geo_dev_main_plus_gov_mobility,2532.0,128.0,17.0,1.0,0.2337607427564032,0.1436159108714335,0.1035927605489068,9.361924739546527,0.2533774411577886,0.0749772726934245,,
geo_area_rugged,asinh_rentin,geo_dev_main_plus_gov_mobility,2526.0,128.0,17.0,1.0,0.4453912077816795,0.2573480674362682,0.0835060428407095,9.362553549772604,0.253458886203581,0.0574164808602468,,
geo_area_rugged,any_rentin,geo_dev_main_plus_labor_cost,2532.0,128.0,18.0,1.0,0.2505851404552158,0.1412481528587048,0.0760503664143499,9.217989367706412,0.2431157150178186,0.0519505860781758,,
geo_area_rugged,asinh_rentin,geo_dev_main_plus_labor_cost,2526.0,128.0,18.0,1.0,0.4509698501112798,0.2558762261850951,0.077992772439519,9.137272267874948,0.2431520610237287,0.0543030847779643,,
geo_area_rugged,any_rentin,geo_dev_main_plus_rent,2532.0,128.0,17.0,1.0,0.079469373990576,0.1229429955155469,0.5180254924958636,9.275428871066312,0.2433723205111475,0.5192744228024335,,
