controls,outcome,subset,b,se,p,first_stage_f,partial_r2,N,clusters
farm_income,any_rentin,geo+net+raw+workload,0.18309118203112673,0.1018942049068296,0.07235541552384528,17.39763666070698,0.44858181140277853,2772,130
farm_income,asinh_rentin,geo+net+raw+workload,0.420323899565577,0.21880565176613356,0.05473272011448449,17.396703408771895,0.4485606869506318,2766,130
baseline_bundle,any_rentin,geo+net+raw+workload,0.16942507501132675,0.10749429118149399,0.1149956367797913,18.403729041412113,0.4357213332705242,2532,128
baseline_bundle,asinh_rentin,geo+net+raw+workload,0.3871379024924741,0.21008998032142995,0.06536928079081172,18.403383914100814,0.4357094433946457,2526,128
