names,k,b_any_farm,p_any_farm,F_farm,over_any_farm,p_area_farm,over_area_farm,b_area_farm,b_any_base,p_any_base,F_base,over_any_base,p_area_base,over_area_base,b_area_base,score
geo+rugged+area+workload,4,0.1649021305935845,0.09541826740146964,23.025925162983935,0.23810391711418122,0.05826659557785563,0.31252017624225237,0.38286603946749015,0.15295760232584363,0.14383938889421577,25.864540356468776,0.3166516992922517,0.07153742045576372,0.441829355265949,0.3552787735715362,11
geo+net+workload+costwork,4,0.1830911820309025,0.07235541552414793,21.516118559885854,0.3071868730025047,0.05473272011444741,0.09512700570502264,0.4203238995657729,0.16942507501130666,0.11499563677981794,23.81777780807488,0.4947613895960491,0.06536928079078219,0.3024062011833688,0.38713790249250934,11
geo+net+dist+costwork,4,0.18309118203092944,0.07235541552411151,21.51611855627075,0.30718687300262115,0.05473272011444452,0.09512700570502264,0.42032389956577476,0.169425075011321,0.11499563677978486,23.817777802468605,0.4947613895961541,0.06536928079080218,0.3024062011834383,0.3871379024924536,11
geo+net+costwork+burden4,4,0.18309118203092303,0.07235541552411706,21.51611855619649,0.3071868730025047,0.05473272011446495,0.09512700570499666,0.4203238995656812,0.16942507501132914,0.11499563677978752,23.817777802374053,0.4947613895961541,0.06536928079078619,0.3024062011834383,0.3871379024925071,11
net+raw+dist+burden4,4,0.18309118203093191,0.07235541552410352,21.516118556263642,0.3071868730023889,0.05473272011445762,0.09512700570503507,0.4203238995657148,0.16942507501131437,0.11499563677980595,23.81777780235113,0.4947613895962588,0.06536928079078774,0.3024062011834383,0.3871379024924897,11
geo+raw+costwork+burden4,4,0.18309118203092353,0.07235541552411862,21.51611855627374,0.3071868730025047,0.05473272011445496,0.09512700570503507,0.42032389956572624,0.1694250750113228,0.11499563677979219,23.817777802320393,0.4947613895961541,0.06536928079079218,0.3024062011833688,0.3871379024924869,11
geo+dist+workload+burden4,4,0.18309118203092423,0.0723554155241164,21.516118556274762,0.30718687300254377,0.054732720114453626,0.09512700570499666,0.4203238995657271,0.16942507501132426,0.11499563677978908,23.81777780231812,0.4947613895961541,0.06536928079079085,0.3024062011833688,0.38713790249248725,11
geo+dist+workload+costwork,4,0.18309118203092895,0.07235541552411684,21.516118556042557,0.30718687300254377,0.054732720114447186,0.09512700570499666,0.42032389956573113,0.16942507501132803,0.11499563677976998,23.817777802311866,0.4947613895961541,0.06536928079078441,0.3024062011833688,0.3871379024924753,11
net+raw+costwork+burden4,4,0.18309118203091457,0.07235541552413016,21.51611855625896,0.3071868730025047,0.054732720114451405,0.09512700570503507,0.4203238995657364,0.16942507501132595,0.11499563677978575,23.817777802307944,0.4947613895961541,0.06536928079079707,0.3024062011833688,0.38713790249247826,11
net+dist+workload+burden4,4,0.18309118203092065,0.07235541552412195,21.51611855628903,0.3071868730025047,0.05473272011445318,0.09512700570502264,0.42032389956572863,0.16942507501132095,0.11499563677979308,23.817777802304136,0.4947613895961541,0.06536928079079063,0.3024062011834383,0.3871379024924848,11
net+dist+costwork+burden4,4,0.18309118203091682,0.07235541552412594,21.516118556286756,0.3071868730025047,0.05473272011445318,0.09512700570502264,0.4203238995657293,0.16942507501132284,0.11499563677979174,23.817777802303226,0.4947613895961541,0.0653692807907913,0.3024062011833688,0.38713790249248614,11
geo+dist+costwork+burden4,4,0.18309118203092456,0.07235541552411728,21.516118556268907,0.3071868730025047,0.054732720114455624,0.09512700570502264,0.4203238995657229,0.1694250750113236,0.11499563677979152,23.817777802301748,0.4947613895961541,0.06536928079079041,0.3024062011833688,0.3871379024924906,11
dist+workload+costwork+burden4,4,0.18309118203091906,0.07235541552412239,21.516118556261347,0.3071868730025047,0.05473272011445207,0.09512700570502264,0.4203238995657338,0.16942507501132725,0.1149956367797964,23.817777802297314,0.4947613895961541,0.0653692807907933,0.3024062011834383,0.38713790249249913,11
raw+dist+costwork+burden4,4,0.1830911820309197,0.07235541552412239,21.516118556293065,0.3071868730025047,0.05473272011445207,0.09512700570503507,0.42032389956573746,0.1694250750113261,0.11499563677978553,23.81777780228117,0.4947613895961541,0.06536928079079263,0.3024062011834383,0.38713790249248675,11
geo+net+dist+burden4,4,0.18309118203092709,0.0723554155241164,21.516118556365157,0.3071868730025047,0.05473272011444075,0.09512700570503507,0.4203238995657815,0.1694250750113131,0.1149956367798004,23.817777802273355,0.4947613895963112,0.06536928079078907,0.3024062011833688,0.38713790249247915,11
net+raw+dist+workload,4,0.18309118203091934,0.07235541552411973,21.516118556275913,0.3071868730025047,0.05473272011445607,0.09512700570502264,0.42032389956572125,0.16942507501131582,0.11499563677979907,23.817777802271923,0.4947613895961541,0.06536928079079041,0.3024062011833688,0.38713790249248414,11
geo+workload+costwork+burden4,4,0.18309118203092897,0.07235541552411062,21.51611855628215,0.3071868730025047,0.054732720114452516,0.09512700570499666,0.42032389956573457,0.16942507501132484,0.11499563677979197,23.8177778022623,0.4947613895961541,0.06536928079078996,0.3024062011834383,0.3871379024924983,11
net+dist+workload+costwork,4,0.18309118203092073,0.07235541552412594,21.516118556361448,0.3071868730025047,0.05473272011444985,0.09512700570502264,0.42032389956573446,0.16942507501131682,0.11499563677979197,23.817777802253318,0.4947613895961541,0.06536928079078885,0.3024062011834383,0.38713790249247415,11
