set,estimator,controls,stress,outcome,N,clusters,b,se,p,first_stage_f,partial_r2,overid_p
clean_three_iv,2SLS,farm_income,baseline,any_rentin,2772,130,0.17932790615307181,0.09965621133919084,0.07194508926124477,21.317474348300948,0.4435511321078759,0.16526886337140123
clean_three_iv,IVGMM,farm_income,baseline,any_rentin,2772,130,0.17533941859043434,0.09752841069434258,0.07220408824130997,21.317474348300948,0.4435511321078759,0.1652688633712065
clean_three_iv,2SLS,farm_income,baseline,asinh_rentin,2766,130,0.4296311662899931,0.22275666326570487,0.053767898860271446,21.317433493599538,0.44353015443158517,0.04212220883154727
clean_three_iv,IVGMM,farm_income,baseline,asinh_rentin,2766,130,0.40305637022840335,0.1984002993425468,0.04220115216349529,21.317433493599538,0.44353015443158517,0.04212220883161777
clean_three_iv,2SLS,farm_income,geo_main,any_rentin,2772,130,0.20210031296213196,0.10637582568318421,0.05745009174507487,21.695828498244282,0.465971354033915,0.18870537614180405
clean_three_iv,IVGMM,farm_income,geo_main,any_rentin,2772,130,0.1873912932656653,0.1034069749861411,0.06995952158548868,21.695828498244282,0.465971354033915,0.188705376141742
clean_three_iv,2SLS,farm_income,geo_main,asinh_rentin,2766,130,0.4443381410470448,0.23800449099953797,0.06191111928960069,21.693613309144666,0.4659794322497286,0.1888205986168584
clean_three_iv,IVGMM,farm_income,geo_main,asinh_rentin,2766,130,0.4334745212047637,0.22935959744183831,0.05876677608397074,21.693613309144666,0.4659794322497286,0.18882059861667666
clean_three_iv,2SLS,farm_income,geo_dev_main,any_rentin,2772,130,0.2002933016972708,0.10648725344306023,0.05998370039168055,22.026263284879633,0.4684720745608977,0.21118284988457947
clean_three_iv,IVGMM,farm_income,geo_dev_main,any_rentin,2772,130,0.1874142181729898,0.10411354902233734,0.07184573125527938,22.026263284879633,0.4684720745608977,0.21118284988439728
clean_three_iv,2SLS,farm_income,geo_dev_main,asinh_rentin,2766,130,0.43625771408582265,0.2370039943490745,0.06566277372971951,22.022732961669817,0.4684799970089666,0.26140322535813687
clean_three_iv,IVGMM,farm_income,geo_dev_main,asinh_rentin,2766,130,0.43727126821049705,0.2337682828363589,0.061409850213415496,22.022732961669817,0.4684799970089666,0.26140322535905813
clean_three_iv,2SLS,farm_income,gov_mobility,any_rentin,2772,130,0.172555829040176,0.09779116220582576,0.07764211896851014,21.870849734319336,0.45064208575021636,0.1358729741686482
clean_three_iv,IVGMM,farm_income,gov_mobility,any_rentin,2772,130,0.17136277569443573,0.09642143199359662,0.07553089305064198,21.870849734319336,0.45064208575021636,0.13587297417006128
clean_three_iv,2SLS,farm_income,gov_mobility,asinh_rentin,2766,130,0.40247582082829175,0.21100732423074944,0.05646853307700539,21.87100993155059,0.4506248037610564,0.020517708899649878
clean_three_iv,IVGMM,farm_income,gov_mobility,asinh_rentin,2766,130,0.39019575269578405,0.1963987164644695,0.046949767684516086,21.87100993155059,0.4506248037610564,0.020517708899634446
clean_three_iv,2SLS,farm_income,geo_dev_gov,any_rentin,2772,130,0.1912981644298043,0.10308406004309567,0.06348931103387367,22.35539685922504,0.4745904586560762,0.1899886406249427
clean_three_iv,IVGMM,farm_income,geo_dev_gov,any_rentin,2772,130,0.1792887659606201,0.10102577041144983,0.07595016429540524,22.35539685922504,0.4745904586560762,0.1899886406245883
clean_three_iv,2SLS,farm_income,geo_dev_gov,asinh_rentin,2766,130,0.4147459740727819,0.22461253921234065,0.06482033662491249,22.353747549289892,0.4746068007294084,0.13926293710030868
clean_three_iv,IVGMM,farm_income,geo_dev_gov,asinh_rentin,2766,130,0.41587879118420434,0.22268459542824937,0.061822205865408986,22.353747549289892,0.4746068007294084,0.13926293710047988
clean_three_iv,2SLS,baseline_bundle,baseline,any_rentin,2532,128,0.1690775773922265,0.10611111102028112,0.11107020452738903,23.5934486267206,0.43237861191549287,0.3042541007074844
clean_three_iv,IVGMM,baseline_bundle,baseline,any_rentin,2532,128,0.1860874325255615,0.10934869716881924,0.08879660562452818,23.5934486267206,0.43237861191549287,0.3042541007066273
clean_three_iv,2SLS,baseline_bundle,baseline,asinh_rentin,2526,128,0.39636217336531704,0.21289604721700894,0.06263637825446589,23.593490221241836,0.4323672371535213,0.17723219089104547
clean_three_iv,IVGMM,baseline_bundle,baseline,asinh_rentin,2526,128,0.430386353560381,0.21545914540323083,0.04576751454907213,23.593490221241836,0.4323672371535213,0.17723219089112552
clean_three_iv,2SLS,baseline_bundle,geo_main,any_rentin,2532,128,0.16875002384289128,0.10883019706357004,0.12100215465689024,23.045603251574676,0.4542393237888174,0.5153572108826996
clean_three_iv,IVGMM,baseline_bundle,geo_main,any_rentin,2532,128,0.17686308818523272,0.10976714682746398,0.1071237098654565,23.045603251574676,0.4542393237888174,0.5153572108836849
clean_three_iv,2SLS,baseline_bundle,geo_main,asinh_rentin,2526,128,0.3582093038913048,0.2089801382011342,0.08651348201960118,23.04104064337662,0.4542633741623545,0.5278627148710606
clean_three_iv,IVGMM,baseline_bundle,geo_main,asinh_rentin,2526,128,0.37473354117162094,0.20918815547931416,0.07323382090151642,23.04104064337662,0.4542633741623545,0.5278627148721302
clean_three_iv,2SLS,baseline_bundle,geo_dev_main,any_rentin,2532,128,0.16804422956850523,0.10851231807098856,0.12147335334883813,23.414647340415968,0.4567971087777172,0.5102150209339067
clean_three_iv,IVGMM,baseline_bundle,geo_dev_main,any_rentin,2532,128,0.17657450797449822,0.10972087723294163,0.10754936427581674,23.414647340415968,0.4567971087777172,0.5102150209344838
clean_three_iv,2SLS,baseline_bundle,geo_dev_main,asinh_rentin,2526,128,0.35139557359802154,0.20963955999175712,0.09370113219595533,23.409098512217497,0.4568295884711484,0.5378027207627771
clean_three_iv,IVGMM,baseline_bundle,geo_dev_main,asinh_rentin,2526,128,0.37744508608363797,0.21251471729275467,0.07571822235664993,23.409098512217497,0.4568295884711484,0.5378027207614584
clean_three_iv,2SLS,baseline_bundle,gov_mobility,any_rentin,2532,128,0.16302695464031525,0.10476159564304849,0.1196674408377767,24.025167366605046,0.43951724870219355,0.23028823735517978
clean_three_iv,IVGMM,baseline_bundle,gov_mobility,any_rentin,2532,128,0.181682647552692,0.1084602922247585,0.09391314424585184,24.025167366605046,0.43951724870219355,0.23028823735553294
clean_three_iv,2SLS,baseline_bundle,gov_mobility,asinh_rentin,2526,128,0.36777935363019637,0.20355357238803312,0.07079441963182398,24.024517109158523,0.4395025229511914,0.07193216787560075
clean_three_iv,IVGMM,baseline_bundle,gov_mobility,asinh_rentin,2526,128,0.4109604695043223,0.2142071515902873,0.055045247569740496,24.024517109158523,0.4395025229511914,0.07193216787592116
clean_three_iv,2SLS,baseline_bundle,geo_dev_gov,any_rentin,2532,128,0.1611945674883557,0.10624313469067825,0.12921029633473413,23.806774684563607,0.4633568425752158,0.48606955947993336
clean_three_iv,IVGMM,baseline_bundle,geo_dev_gov,any_rentin,2532,128,0.16988808356216165,0.10744734625391625,0.11384861233282839,23.806774684563607,0.4633568425752158,0.4860695594824549
clean_three_iv,2SLS,baseline_bundle,geo_dev_gov,asinh_rentin,2526,128,0.33055603540838796,0.20126856387809744,0.10051480522100542,23.801952346878124,0.46339376366248497,0.3546396711015014
clean_three_iv,IVGMM,baseline_bundle,geo_dev_gov,asinh_rentin,2526,128,0.3541265432926415,0.20527038786102486,0.08449664008649438,23.801952346878124,0.46339376366248497,0.35463967110201255
component_four_iv,2SLS,farm_income,baseline,any_rentin,2772,130,0.29215195740275285,0.13216302133730018,0.02706754387844512,10.806344288588294,0.2287121148223924,0.15487793362081237
component_four_iv,IVGMM,farm_income,baseline,any_rentin,2772,130,0.2037538812953512,0.12257305116073207,0.09645149602093506,10.806344288588294,0.2287121148223924,0.15487793362080482
component_four_iv,2SLS,farm_income,baseline,asinh_rentin,2766,130,0.5976847713898933,0.23794085775910984,0.012008149396236512,10.809344904384643,0.22874584569850254,0.03626203711242293
component_four_iv,IVGMM,farm_income,baseline,asinh_rentin,2766,130,0.4097078704098547,0.19838014320913452,0.038897788402783684,10.809344904384643,0.22874584569850254,0.03626203711240883
component_four_iv,2SLS,baseline_bundle,baseline,any_rentin,2532,128,0.3229673356874907,0.1634546518822654,0.04816798305639414,11.93682892641724,0.2241160120846789,0.7111019061386888
component_four_iv,IVGMM,baseline_bundle,baseline,any_rentin,2532,128,0.28082316648599237,0.16430425062594736,0.08742028641935606,11.93682892641724,0.2241160120846789,0.711101906138677
component_four_iv,2SLS,baseline_bundle,baseline,asinh_rentin,2526,128,0.628474228927298,0.26764342973147426,0.018865538165796947,11.940023572522595,0.2241430915827789,0.40131749544732265
component_four_iv,IVGMM,baseline_bundle,baseline,asinh_rentin,2526,128,0.5069025520802797,0.2512290479849506,0.04362346807636808,11.940023572522595,0.2241430915827789,0.40131749544753836
