source,scope,anchor,outcome,design,fe,high_treated_support,N,clusters,mean_y,kept_regs,D_b,D_se,D_p,PM_b,PM_se,PM_p,DM_b,DM_se,DM_p,D_plus_DM_b,D_plus_DM_se,D_plus_DM_p
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_raw,overall_D,stackyear,4,494,182,25.559688061617457,D,18.916477038796504,12.720581265657389,0.13699461628268936,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_raw,overall_D,provyear,4,482,179,25.559688061617457,D,0.9533898305084758,11.5155339264752,0.9340172241287336,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_raw,heterogeneous_D_DM,stackyear,4,412,141,26.128360861759425,"PM,D,DM",21.00821719865381,14.301748390944097,0.14185272620210546,-0.6554186362660261,5.792875204183984,0.909917820194011,12.472840102928092,40.50578502320351,0.7581375940665264,33.4810573015819,37.86201637948643,0.3765389034290675
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_raw,heterogeneous_D_DM,provyear,4,396,137,26.128360861759425,"PM,D,DM",10.898497798664588,7.775279092681023,0.16100911191408585,-1.921545367300236,7.128110974465223,0.7874888707723535,6.5882120339668475,44.33990623903372,0.8818816960195892,17.486709832631433,44.94202618133132,0.6972060011706724
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_miss0,overall_D,stackyear,4,544,200,24.22262408759124,D,18.176180359477186,12.122191948837603,0.13376634856377645,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_miss0,overall_D,provyear,4,540,199,24.22262408759124,D,-3.4257998638529603,8.818548577553946,0.6976633594902827,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_miss0,heterogeneous_D_DM,stackyear,4,444,151,25.006008591065292,"PM,D,DM",21.317867762492103,14.277860309386133,0.13541844520118546,-0.33840767436103153,5.440838730019572,0.9504053912574305,12.118581885541484,40.43099001956549,0.7643793163283058,33.43644964803359,37.7905480728394,0.37627346369810233
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_miss0,heterogeneous_D_DM,provyear,4,434,150,25.006008591065292,"PM,D,DM",9.444308959747348,7.74966905854737,0.22296850025726278,-1.8729673880561926,6.592618099974361,0.7763332139058227,6.539634054722843,44.23353693913581,0.882466400965222,15.98394301447019,44.839667606628296,0.7214895049948095
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_any,overall_D,stackyear,4,494,182,0.5571245186136072,D,0.14212193190815495,0.14170560953797706,0.31589080619666876,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_any,overall_D,provyear,4,482,179,0.5571245186136072,D,-0.1949152542372882,0.29654874778299833,0.5110015588749832,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_any,heterogeneous_D_DM,stackyear,4,412,141,0.5619389587073609,"PM,D,DM",0.3315647511734712,0.15635574302702498,0.033957222131872834,0.02662529450982533,0.07781031793198696,0.7322138888594767,-0.5090264803590262,0.2754598991311332,0.06461463976718515,-0.17746172918555503,0.23142801791234094,0.44319343445049064
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_any,heterogeneous_D_DM,provyear,4,396,137,0.5619389587073609,"PM,D,DM",0.15577098572391185,0.16197325977748486,0.33619628400204393,-0.015118611375948558,0.08342000055537925,0.8561832403415495,-0.4571036108462739,0.31442393405546404,0.14600697141469093,-0.30133262512236203,0.3508139707859471,0.3903665845761968
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_high50,overall_D,stackyear,4,494,182,0.24005134788189988,D,0.15162311955661115,0.14498772522711686,0.29566944519596294,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_high50,overall_D,provyear,4,482,179,0.24005134788189988,D,0.016949152542372843,0.16506098286502796,0.9182136256298382,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_high50,heterogeneous_D_DM,stackyear,4,412,141,0.24775583482944344,"PM,D,DM",0.1502956960808162,0.16693820757277392,0.3679567081402553,-0.021488854830588804,0.07416030469833919,0.7719981493518839,0.1733577471154611,0.455890543952271,0.7037511077479017,0.3236534431962773,0.42366764011688685,0.4449075196620127
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_high50,heterogeneous_D_DM,provyear,4,396,137,0.24775583482944344,"PM,D,DM",0.12489103271924219,0.08984251677901271,0.16449530235099175,-0.05059568780147622,0.0873333307125408,0.5623598114923869,0.07837346557925401,0.5010888580950267,0.8757127538132036,0.2032644982984962,0.5081946794206514,0.6891758994124512
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_logit,overall_D,stackyear,4,494,182,-2.217913802254308,D,2.1644919391549378,1.1699916296419492,0.0643126350045902,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_logit,overall_D,provyear,4,482,179,-2.217913802254308,D,0.051141630668317783,1.6652986945417743,0.9755006686932168,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_logit,heterogeneous_D_DM,stackyear,4,412,141,-2.197620393209788,"PM,D,DM",2.6998064154051145,1.3157882978887767,0.0401837845383586,-0.024290906372858075,0.5413329165690811,0.9642090174539306,0.7005936258002321,3.2966366354670957,0.8317031728356512,3.4004000412053466,3.02165770449604,0.2604438978700624
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_logit,heterogeneous_D_DM,provyear,4,396,137,-2.197620393209788,"PM,D,DM",1.8338766313075596,1.3076721601696792,0.16079647381136508,-0.05417338810400099,0.6743986097202738,0.9359760396265274,0.4618880818918403,3.684300332148877,0.900233355475236,2.2957647131994,3.8938786641968446,0.5554702433095773
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_arcsin,overall_D,stackyear,4,494,182,0.431418670380242,D,0.3093910465307712,0.18345675994041,0.09170874480453334,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_arcsin,overall_D,provyear,4,482,179,0.431418670380242,D,0.005380342288411728,0.20862974669006923,0.9794256748439978,,,,,,,,,
