scope,anchor,group,outcome,outcome_label,family,fe,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,farmdep middle tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,0.17343984311432625,1.3758299719347173,0.8996828670799167,916.0,96.0,8.272152370558263,ok
adjacent,completed_t,farmdep top tercile,any_rentin,Any rented-in land,rent-in,stackyear,0.008537881974349147,0.06545716431748344,0.8962225581609595,1040.0,99.0,0.18220084185207455,ok
adjacent,completed_t,farmdep top tercile,any_rentin,Any rented-in land,rent-in,provyear,-0.4442622950819667,0.10498214086386855,2.3183959587295286e-05,1030.0,97.0,0.18220084185207455,ok
adjacent,completed_t,farmdep top tercile,asinh_rentin,asinh rented-in area,rent-in,stackyear,0.010051377450336393,0.11560905903927012,0.9307169640273625,1040.0,99.0,0.40768616521252815,ok
adjacent,completed_t,farmdep top tercile,asinh_rentin,asinh rented-in area,rent-in,provyear,-0.6131401661248717,0.36969746642027046,0.09721826876767953,1030.0,97.0,0.40768616521252815,ok
adjacent,completed_t,farmdep top tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,-0.12145276380257172,0.10910909503585119,0.2656519835965725,1104.0,101.0,0.23972206137811233,ok
adjacent,completed_t,farmdep top tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,-0.13567098148451565,0.08203953651013615,0.09818303156546686,1096.0,100.0,0.23972206137811233,ok
adjacent,completed_t,farmdep top tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,-0.029890500147972805,0.03674935238547864,0.41601095450529446,1104.0,101.0,0.04226983207874928,ok
adjacent,completed_t,farmdep top tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,-0.009831230542356205,0.02384775328121795,0.6801563691636888,1096.0,100.0,0.04226983207874928,ok
adjacent,completed_t,farmdep top tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,-0.009858142888617421,0.02110995267672761,0.640506826305101,1040.0,99.0,0.03367408298256164,ok
adjacent,completed_t,farmdep top tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,-0.011475409836065563,0.02788596757117582,0.680697155799028,1030.0,97.0,0.03367408298256164,ok
adjacent,completed_t,farmdep top tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,0.009198012431483346,0.06523604573026227,0.8878732121770565,1040.0,99.0,0.16787003610108303,ok
adjacent,completed_t,farmdep top tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,-0.4442622950819667,0.10498214086386855,2.3183959587295286e-05,1030.0,97.0,0.16787003610108303,ok
adjacent,completed_t,farmdep top tercile,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.04649633356351335,0.051322601852055665,0.36495589850080934,1104.0,101.0,0.8909512761020881,ok
adjacent,completed_t,farmdep top tercile,rb_farm_any,Any own-farm production,farm-exit,provyear,-0.24545305587416,0.10520883391492337,0.01964772310905339,1096.0,100.0,0.8909512761020881,ok
adjacent,completed_t,farmdep top tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-0.9232412309437046,0.658164775406666,0.16069113322415352,1088.0,101.0,9.231518740073607,ok
adjacent,completed_t,farmdep top tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,-6.688354458343489,1.0884851981820085,8.014286235113259e-10,1080.0,100.0,9.231518740073607,ok
adjacent,completed_t,high insecurity + farmdep bottom tercile,any_rentin,Any rented-in land,rent-in,stackyear,0.02857142857142861,0.10663319005880066,0.7887445532899603,340.0,33.0,0.08156028368794327,ok
adjacent,completed_t,high insecurity + farmdep bottom tercile,any_rentin,Any rented-in land,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep bottom tercile,asinh_rentin,asinh rented-in area,rent-in,stackyear,0.0402473751269367,0.11525475052839018,0.7269364550847096,338.0,33.0,0.12035488866242336,ok
adjacent,completed_t,high insecurity + farmdep bottom tercile,asinh_rentin,asinh rented-in area,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep bottom tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.6761904761904761,0.15012156668696822,6.659645803918618e-06,348.0,33.0,1.1357388316151202,ok
adjacent,completed_t,high insecurity + farmdep bottom tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep bottom tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,0.14285714285714304,0.05340352694401348,0.007471794675487979,348.0,33.0,0.31443298969072164,ok
adjacent,completed_t,high insecurity + farmdep bottom tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep bottom tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.1714285714285716,0.059003596531540664,0.0036679352454493126,340.0,33.0,0.3102836879432624,ok
adjacent,completed_t,high insecurity + farmdep bottom tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep bottom tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,0.02857142857142861,0.10663319005880066,0.7887445532899603,340.0,33.0,0.0673758865248227,ok
adjacent,completed_t,high insecurity + farmdep bottom tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep bottom tercile,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.33333333333333326,0.04103259031068201,4.524662136828919e-16,346.0,33.0,0.5709342560553633,ok
adjacent,completed_t,high insecurity + farmdep bottom tercile,rb_farm_any,Any own-farm production,farm-exit,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep bottom tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-2.3855652519961636,0.6498528268985093,0.00024166805038087637,346.0,33.0,2.4279735438192,ok
adjacent,completed_t,high insecurity + farmdep bottom tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep top tercile,any_rentin,Any rented-in land,rent-in,stackyear,0.1618037135278517,0.0683990513551223,0.018001650524959077,318.0,33.0,0.20934959349593496,ok
adjacent,completed_t,high insecurity + farmdep top tercile,any_rentin,Any rented-in land,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep top tercile,asinh_rentin,asinh rented-in area,rent-in,stackyear,0.3730092430989216,0.15287217556541285,0.014686960132182554,318.0,33.0,0.44536941791372814,ok
adjacent,completed_t,high insecurity + farmdep top tercile,asinh_rentin,asinh rented-in area,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep top tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.16007714561234304,0.294969265637014,0.5873426188930613,342.0,34.0,0.2771317829457364,ok
adjacent,completed_t,high insecurity + farmdep top tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep top tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,0.05062680810028921,0.04639157310654711,0.2751438905364444,342.0,34.0,0.046511627906976744,ok
adjacent,completed_t,high insecurity + farmdep top tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep top tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.0,0.024761045890250223,1.0,318.0,33.0,0.036585365853658534,ok
adjacent,completed_t,high insecurity + farmdep top tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep top tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,0.1790450928381966,0.06750557106471157,0.007994524067854317,318.0,33.0,0.1991869918699187,ok
adjacent,completed_t,high insecurity + farmdep top tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep top tercile,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.1504339440694309,0.10723462157157589,0.1606619761808432,342.0,34.0,0.9089147286821705,ok
adjacent,completed_t,high insecurity + farmdep top tercile,rb_farm_any,Any own-farm production,farm-exit,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,high insecurity + farmdep top tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,0.14338457287082146,0.608179109397901,0.8136185691750839,342.0,34.0,9.37436784202905,ok
adjacent,completed_t,high insecurity + farmdep top tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,farm-orientation bottom tercile,any_rentin,Any rented-in land,rent-in,stackyear,-0.11361710712124291,0.09225631813962239,0.21812193377429812,844.0,94.0,0.0800794176042356,ok
adjacent,completed_t,farm-orientation bottom tercile,any_rentin,Any rented-in land,rent-in,provyear,-0.23052774706027412,0.08797455836096804,0.008782898429385089,836.0,93.0,0.0800794176042356,ok
adjacent,completed_t,farm-orientation bottom tercile,asinh_rentin,asinh rented-in area,rent-in,stackyear,-0.19166651505540203,0.15364401489759308,0.2122246989776866,840.0,94.0,0.10984509008644623,ok
adjacent,completed_t,farm-orientation bottom tercile,asinh_rentin,asinh rented-in area,rent-in,provyear,-0.24762912489217043,0.15176893922667775,0.10275971751331102,832.0,93.0,0.10984509008644623,ok
adjacent,completed_t,farm-orientation bottom tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.1509052641194181,0.2073248339649364,0.4666939450796578,876.0,95.0,1.1703225806451614,ok
adjacent,completed_t,farm-orientation bottom tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,0.4265829021926581,0.15702865067419391,0.006595770104986691,868.0,95.0,1.1703225806451614,ok
adjacent,completed_t,farm-orientation bottom tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,-0.0158977852714271,0.1018351596905717,0.8759440057664962,876.0,95.0,0.3367741935483871,ok
adjacent,completed_t,farm-orientation bottom tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,0.1447400837644739,0.08033023042118005,0.0715747723507115,868.0,95.0,0.3367741935483871,ok
adjacent,completed_t,farm-orientation bottom tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.05168448658462794,0.07313996748487138,0.47978291610534274,844.0,94.0,0.3170086035737922,ok
adjacent,completed_t,farm-orientation bottom tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,0.14871401474928442,0.08032522189731152,0.0641122099767714,836.0,93.0,0.3170086035737922,ok
adjacent,completed_t,farm-orientation bottom tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,-0.11314518088006413,0.09252889828451769,0.22140179923605297,842.0,94.0,0.06423841059602649,ok
adjacent,completed_t,farm-orientation bottom tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,-0.2241632862543054,0.08438497981786422,0.007897147247149378,834.0,93.0,0.06423841059602649,ok
adjacent,completed_t,farm-orientation bottom tercile,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.10156726276133649,0.06886963244877244,0.1402728471142514,864.0,94.0,0.5937702790395847,ok
adjacent,completed_t,farm-orientation bottom tercile,rb_farm_any,Any own-farm production,farm-exit,provyear,-0.011579762926992962,0.1335916875949426,0.9309256633492329,856.0,94.0,0.5937702790395847,ok
adjacent,completed_t,farm-orientation bottom tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-2.8389949236332623,0.6914710789623132,4.030365749706152e-05,858.0,95.0,2.579725534113197,ok
adjacent,completed_t,farm-orientation bottom tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,-1.2004848387457758,0.8819606142758133,0.17346480518691465,850.0,95.0,2.579725534113197,ok
