county_code,completed_yr,in_analytic,sample_tag
531101,,1.0,
610101,,1.0,
610102,,1.0,
610103,,1.0,
610201,,1.0,
610202,,1.0,
610203,,1.0,
610204,,1.0,
610401,,1.0,
610801,,1.0,
610901,,1.0,
611201,,1.0,
611202,,1.0,
611301,,1.0,
611302,,1.0,
620101,,1.0,
620102,,1.0,
620201,,1.0,
620202,,1.0,
620203,,1.0,
620204,,1.0,
620205,,1.0,
620301,,1.0,
620302,2016.0,1.0,
620401,,1.0,
620402,,1.0,
620501,,1.0,
620502,,1.0,
620601,,1.0,
620604,,1.0,
620605,,1.0,
620606,,1.0,
620701,,1.0,
620702,,1.0,
620801,,1.0,
620802,,1.0,
640102,,1.0,
640104,,1.0,
640105,,1.0,
640106,,1.0,
650301,,1.0,
650304,,1.0,
650502,,1.0,
651001,,1.0,
