estimator,scope,sample,threshold,threshold_var,outcome,outcome_label,row,contrast,att,se,p,inference,boot_reps,raw_obs,raw_households,raw_counties,raw_county_cohort_counts,validator_drop_always_entities,validator_ignore_after_entities,valid_obs,valid_households,valid_counties,ci_low,ci_high
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.08312906783661489,0.048597746583798285,0.08716348434457252,analytic subgroup SE from differences,0,4390,2838,208,"{nan: 189, 2016.0: 15, 2018.0: 4}",62,84,4317,2776,208,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.09585705985527096,0.0782163627638706,0.22037289427782258,analytic subgroup SE from differences,0,4390,2838,208,"{nan: 189, 2016.0: 15, 2018.0: 4}",62,84,4317,2776,208,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.17898612769188585,0.06893634148051837,0.009420707646737619,direct county-cluster multiplier bootstrap for sample-split difference,999,4390,2838,208,"{nan: 189, 2016.0: 15, 2018.0: 4}",62,84,4317,2776,208,0.05618797047186541,0.3017842849119063
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.15785016584035544,0.09284138824439488,0.08909080587106229,analytic subgroup SE from differences,0,4385,2836,208,"{nan: 189, 2016.0: 15, 2018.0: 4}",62,84,4312,2774,208,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.3604637375318691,0.2799285212566389,0.19785068638228478,analytic subgroup SE from differences,0,4385,2836,208,"{nan: 189, 2016.0: 15, 2018.0: 4}",62,84,4312,2774,208,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.5183139033722246,0.11445312443568245,5.937213649999359e-06,direct county-cluster multiplier bootstrap for sample-split difference,999,4385,2836,208,"{nan: 189, 2016.0: 15, 2018.0: 4}",62,84,4312,2774,208,0.2971233996846656,0.7395044070597836
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.07819687990038215,0.04243554373850883,0.06536971392889715,analytic subgroup SE from differences,0,4390,2838,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4278,2740,208,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.10110223746311893,0.07056320828132494,0.15191794801545055,analytic subgroup SE from differences,0,4390,2838,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4278,2740,208,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.17929911736350107,0.05909433130081513,0.0024124082257366095,direct county-cluster multiplier bootstrap for sample-split difference,999,4390,2838,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4278,2740,208,0.06973264679677478,0.2888655879302274
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.15614479823469818,0.08182900528762718,0.05636743946304844,analytic subgroup SE from differences,0,4385,2836,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4273,2738,208,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.34561443939339864,0.2472309854377326,0.16213065361054818,analytic subgroup SE from differences,0,4385,2836,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4273,2738,208,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.5017592376280968,0.1016279226357836,7.924475863679459e-07,direct county-cluster multiplier bootstrap for sample-split difference,999,4385,2836,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4273,2738,208,0.2927403922542806,0.710778083001913
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.08145223347365209,0.04107454735187632,0.04736360591430932,analytic subgroup SE from differences,0,4390,2838,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4266,2728,208,,
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.09944174597902408,0.06957163940975965,0.15290563056866988,analytic subgroup SE from differences,0,4390,2838,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4266,2728,208,,
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.18089397945267616,0.057206956147995494,0.0015663704886978674,direct county-cluster multiplier bootstrap for sample-split difference,999,4390,2838,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4266,2728,208,0.07395314977436732,0.287834809130985
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.1681932399663838,0.08107460417600816,0.038028351876728254,analytic subgroup SE from differences,0,4385,2836,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4261,2726,208,,
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.34010618114321445,0.24362018419140385,0.16269916333636864,analytic subgroup SE from differences,0,4385,2836,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4261,2726,208,,
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.5082994211095982,0.10151943953562385,5.530872394398114e-07,direct county-cluster multiplier bootstrap for sample-split difference,999,4385,2836,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4261,2726,208,0.29669304597294716,0.7199057962462494
