estimator,scope,sample,threshold,threshold_var,outcome,outcome_label,row,contrast,att,se,p,inference,ci_low,ci_high,boot_reps,raw_obs,raw_households,raw_counties,raw_county_cohort_counts,validator_drop_always_entities,validator_ignore_after_entities,valid_obs,valid_households,valid_counties,low_fit_obs,low_fit_households,low_fit_counties,low_treated_obs,low_treated_households,low_treated_counties,high_fit_obs,high_fit_households,high_fit_counties,high_treated_obs,high_treated_households,high_treated_counties,county_count_boot_frame
CS group-time ATT,mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.22770728561373588,0.22710625821494942,0.3160314713636904,analytic subgroup SE from differences,,,0.0,5138.0,3457.0,214.0,"{nan: 195, 2016.0: 15, 2018.0: 4}",113.0,90.0,5005.0,3344.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.393701171904175,0.12535290682182024,0.00168520266588282,direct county-cluster multiplier bootstrap for sample-split difference,0.15950289141141416,0.6278994523969358,999.0,5138.0,3457.0,214.0,"{nan: 195, 2016.0: 15, 2018.0: 4}",113.0,90.0,5005.0,3344.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.07187286381257421,0.03917548571925679,0.06655923441950515,analytic subgroup SE from differences,,,0.0,5144.0,3460.0,214.0,"{nan: 184, 2016.0: 17, 2018.0: 13}",173.0,157.0,4948.0,3287.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.11147113079638243,0.056706993920715876,0.04932880549167939,analytic subgroup SE from differences,,,0.0,5144.0,3460.0,214.0,"{nan: 184, 2016.0: 17, 2018.0: 13}",173.0,157.0,4948.0,3287.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.18334399460895665,0.06668818585080394,0.005972771072072163,direct county-cluster multiplier bootstrap for sample-split difference,0.07366307316999497,0.2930249160479183,999.0,5144.0,3460.0,214.0,"{nan: 184, 2016.0: 17, 2018.0: 13}",173.0,157.0,4948.0,3287.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.1614938899093757,0.07567176595380827,0.032831595671106766,analytic subgroup SE from differences,,,0.0,5138.0,3457.0,214.0,"{nan: 184, 2016.0: 17, 2018.0: 13}",173.0,157.0,4942.0,3284.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.29573055126403563,0.18727841359819145,0.11431409113296585,analytic subgroup SE from differences,,,0.0,5138.0,3457.0,214.0,"{nan: 184, 2016.0: 17, 2018.0: 13}",173.0,157.0,4942.0,3284.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.4572244411734113,0.10974679812996423,3.0975203531542966e-05,direct county-cluster multiplier bootstrap for sample-split difference,0.2526534463369663,0.6617954360098564,999.0,5138.0,3457.0,214.0,"{nan: 184, 2016.0: 17, 2018.0: 13}",173.0,157.0,4942.0,3284.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.07574158162596856,0.03784191802743048,0.04533573813150506,analytic subgroup SE from differences,,,0.0,5144.0,3460.0,214.0,"{nan: 181, 2016.0: 17, 2018.0: 16}",188.0,183.0,4933.0,3272.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.10922558343589206,0.05609299556944473,0.05150797908186293,analytic subgroup SE from differences,,,0.0,5144.0,3460.0,214.0,"{nan: 181, 2016.0: 17, 2018.0: 16}",188.0,183.0,4933.0,3272.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.18496716506186062,0.06399153910208921,0.0038463677342207513,direct county-cluster multiplier bootstrap for sample-split difference,0.07626290953180782,0.2936714205919134,999.0,5144.0,3460.0,214.0,"{nan: 181, 2016.0: 17, 2018.0: 16}",188.0,183.0,4933.0,3272.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.17461969349734774,0.07468217900311497,0.019378387347336594,analytic subgroup SE from differences,,,0.0,5138.0,3457.0,214.0,"{nan: 181, 2016.0: 17, 2018.0: 16}",188.0,183.0,4927.0,3269.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.2895823902598654,0.18517842217375666,0.11786407027784807,analytic subgroup SE from differences,,,0.0,5138.0,3457.0,214.0,"{nan: 181, 2016.0: 17, 2018.0: 16}",188.0,183.0,4927.0,3269.0,214.0,,,,,,,,,,,,,
CS group-time ATT,mechanism,Mechanism sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.4642020837572131,0.10833464297003825,1.8282920425965783e-05,direct county-cluster multiplier bootstrap for sample-split difference,0.2655610657219031,0.6628431017925231,999.0,5138.0,3457.0,214.0,"{nan: 181, 2016.0: 17, 2018.0: 16}",188.0,183.0,4927.0,3269.0,214.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.08312906783661489,0.048597746583798285,0.08716348434457252,analytic subgroup SE from differences,,,0.0,4390.0,2838.0,208.0,"{nan: 189, 2016.0: 15, 2018.0: 4}",62.0,84.0,4317.0,2776.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.09585705985527096,0.0782163627638706,0.22037289427782258,analytic subgroup SE from differences,,,0.0,4390.0,2838.0,208.0,"{nan: 189, 2016.0: 15, 2018.0: 4}",62.0,84.0,4317.0,2776.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.17898612769188585,0.06893634148051837,0.009420707646737619,direct county-cluster multiplier bootstrap for sample-split difference,0.05618797047186541,0.3017842849119063,999.0,4390.0,2838.0,208.0,"{nan: 189, 2016.0: 15, 2018.0: 4}",62.0,84.0,4317.0,2776.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.15785016584035544,0.09284138824439488,0.08909080587106229,analytic subgroup SE from differences,,,0.0,4385.0,2836.0,208.0,"{nan: 189, 2016.0: 15, 2018.0: 4}",62.0,84.0,4312.0,2774.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.3604637375318691,0.2799285212566389,0.19785068638228478,analytic subgroup SE from differences,,,0.0,4385.0,2836.0,208.0,"{nan: 189, 2016.0: 15, 2018.0: 4}",62.0,84.0,4312.0,2774.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.5183139033722246,0.11445312443568245,5.937213649999359e-06,direct county-cluster multiplier bootstrap for sample-split difference,0.2971233996846656,0.7395044070597836,999.0,4385.0,2836.0,208.0,"{nan: 189, 2016.0: 15, 2018.0: 4}",62.0,84.0,4312.0,2774.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.07819687990038215,0.04243554373850883,0.06536971392889715,analytic subgroup SE from differences,,,0.0,4390.0,2838.0,208.0,"{nan: 178, 2016.0: 17, 2018.0: 13}",98.0,130.0,4278.0,2740.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.10110223746311893,0.07056320828132494,0.15191794801545055,analytic subgroup SE from differences,,,0.0,4390.0,2838.0,208.0,"{nan: 178, 2016.0: 17, 2018.0: 13}",98.0,130.0,4278.0,2740.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.17929911736350107,0.05909433130081513,0.0024124082257366095,direct county-cluster multiplier bootstrap for sample-split difference,0.06973264679677478,0.2888655879302274,999.0,4390.0,2838.0,208.0,"{nan: 178, 2016.0: 17, 2018.0: 13}",98.0,130.0,4278.0,2740.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.15614479823469818,0.08182900528762718,0.05636743946304844,analytic subgroup SE from differences,,,0.0,4385.0,2836.0,208.0,"{nan: 178, 2016.0: 17, 2018.0: 13}",98.0,130.0,4273.0,2738.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.34561443939339864,0.2472309854377326,0.16213065361054818,analytic subgroup SE from differences,,,0.0,4385.0,2836.0,208.0,"{nan: 178, 2016.0: 17, 2018.0: 13}",98.0,130.0,4273.0,2738.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.5017592376280968,0.1016279226357836,7.924475863679459e-07,direct county-cluster multiplier bootstrap for sample-split difference,0.2927403922542806,0.710778083001913,999.0,4385.0,2836.0,208.0,"{nan: 178, 2016.0: 17, 2018.0: 13}",98.0,130.0,4273.0,2738.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.08145223347365209,0.04107454735187632,0.04736360591430932,analytic subgroup SE from differences,,,0.0,4390.0,2838.0,208.0,"{nan: 175, 2016.0: 17, 2018.0: 16}",110.0,150.0,4266.0,2728.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.09944174597902408,0.06957163940975965,0.15290563056866988,analytic subgroup SE from differences,,,0.0,4390.0,2838.0,208.0,"{nan: 175, 2016.0: 17, 2018.0: 16}",110.0,150.0,4266.0,2728.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.18089397945267616,0.057206956147995494,0.0015663704886978674,direct county-cluster multiplier bootstrap for sample-split difference,0.07395314977436732,0.287834809130985,999.0,4390.0,2838.0,208.0,"{nan: 175, 2016.0: 17, 2018.0: 16}",110.0,150.0,4266.0,2728.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.1681932399663838,0.08107460417600816,0.038028351876728254,analytic subgroup SE from differences,,,0.0,4385.0,2836.0,208.0,"{nan: 175, 2016.0: 17, 2018.0: 16}",110.0,150.0,4261.0,2726.0,208.0,,,,,,,,,,,,,
