scope,sample,threshold,threshold_var,outcome,outcome_label,contrast,event_time,att,se,p,ci_low,ci_high,inference,boot_reps,raw_obs,raw_households,raw_counties,raw_county_cohort_counts,validator_drop_always_entities,validator_ignore_after_entities,valid_obs,valid_households,valid_counties
adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,2.0,0.17100093377336062,0.1226646157779261,0.16330170354216236,-0.07567382064760206,0.4176756881943233,direct county-cluster multiplier bootstrap for sample-split event difference,999,4390,2838,208,"{nan: 189, 2016.0: 15, 2018.0: 4}",62,84,4317,2776,208
adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,0.0,0.39423469150723317,0.09868405107131192,6.471664907274424e-05,0.1918138150453067,0.5966555679691596,direct county-cluster multiplier bootstrap for sample-split event difference,999,4385,2836,208,"{nan: 189, 2016.0: 15, 2018.0: 4}",62,84,4312,2774,208
adjacent,Adjacent sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,2.0,0.6424432415248628,0.20211738562761836,0.0014800604465324077,0.22785975105413875,1.0570267319955868,direct county-cluster multiplier bootstrap for sample-split event difference,999,4385,2836,208,"{nan: 189, 2016.0: 15, 2018.0: 4}",62,84,4312,2774,208
adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,-2.0,-0.22426468460363716,0.341821303331059,0.5117678262064169,-0.9553377985635594,0.5068084293562851,direct county-cluster multiplier bootstrap for sample-split event difference,999,4390,2838,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4278,2740,208
adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,0.0,0.1910963219682652,0.0366300465015162,1.8191474985976125e-07,0.11275350980472923,0.2694391341318012,direct county-cluster multiplier bootstrap for sample-split event difference,999,4390,2838,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4278,2740,208
adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,2.0,0.16494594311234706,0.11511688501551864,0.15189893488262896,-0.08126123817662145,0.4111531244013156,direct county-cluster multiplier bootstrap for sample-split event difference,999,4390,2838,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4278,2740,208
adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,-2.0,-0.8466964000343535,0.9882728141186365,0.39158660647322585,-2.862710041760228,1.1693172416915212,direct county-cluster multiplier bootstrap for sample-split event difference,999,4385,2836,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4273,2738,208
adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,0.0,0.4025921415966448,0.08978361717443104,7.32474720919088e-06,0.21943927688026513,0.5857450063130245,direct county-cluster multiplier bootstrap for sample-split event difference,999,4385,2836,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4273,2738,208
adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,2.0,0.6296509251452409,0.1947979686708387,0.0012278603658293556,0.23227546706271485,1.027026383227767,direct county-cluster multiplier bootstrap for sample-split event difference,999,4385,2836,208,"{nan: 178, 2016.0: 17, 2018.0: 13}",98,130,4273,2738,208
adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,-2.0,-0.2968739293910874,0.3487685314339567,0.39465483036601445,-1.0257039971345212,0.4319561383523464,direct county-cluster multiplier bootstrap for sample-split event difference,999,4390,2838,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4266,2728,208
adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,0.0,0.19116658944529383,0.036506368830368625,1.6362623253740345e-07,0.11487834417755047,0.2674548347130372,direct county-cluster multiplier bootstrap for sample-split event difference,999,4390,2838,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4266,2728,208
adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,2.0,0.1692345428454562,0.11270126400819187,0.13319511285739122,-0.06628002477950531,0.40474911047041773,direct county-cluster multiplier bootstrap for sample-split event difference,999,4390,2838,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4266,2728,208
adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,-2.0,-0.9636151053675425,0.9805969655484316,0.32576391315553543,-2.9440168990660505,1.0167866883309657,direct county-cluster multiplier bootstrap for sample-split event difference,999,4385,2836,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4261,2726,208
adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,0.0,0.40938907645315514,0.10141499166833391,5.419196670641445e-05,0.20457258357775665,0.6142055693285536,direct county-cluster multiplier bootstrap for sample-split event difference,999,4385,2836,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4261,2726,208
adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,2.0,0.6398782637543547,0.19150127882268428,0.0008336348111744282,0.2531245928780696,1.0266319346306398,direct county-cluster multiplier bootstrap for sample-split event difference,999,4385,2836,208,"{nan: 175, 2016.0: 17, 2018.0: 16}",110,150,4261,2726,208
