sample,spec,outcome,b,se,p,N,counties,future_high_counties,control_counties,status
countybal,placebo_2014,asinh_migrant_wage_income,.3509170250051301,.1943381,.072475851,1185,200,10,190,ok
countybal,placebo_2014,asinh_operated_area_end,.033524907009059,.082220897,.68390816,1173,197,10,187,ok
countybal,placebo_2014,asinh_transfer_in_area,-.0133491577898767,.49978188,.97872168,794,175,5,170,ok
countybal,placebo_2014,asinh_transfer_in_area_zfill,.0027755867580012,.013156321,.83312666,1200,200,10,190,ok
countybal,placebo_2014,asinh_transfer_out_area_zfill,-.067131305241648,.043068584,.12065463,1200,200,10,190,ok
full,linear_2009_2013,any_transfer_in,.0120069466546338,.011198934,.28459913,936,274,12,262,ok
full,linear_2009_2013,any_transfer_in_zfill,.0054398518962834,.0026859706,.043623798,1471,339,17,322,ok
full,linear_2009_2013,any_transfer_out_zfill,.0054309216269416,.010387208,.6014232,1471,339,17,322,ok
full,linear_2009_2013,asinh_farm_income,-.0509752827189965,.037417091,.17399636,1467,338,17,321,ok
full,linear_2009_2013,asinh_household_income_total,-.0412921925865285,.032311499,.20214713,1471,339,17,322,ok
full,linear_2009_2013,asinh_local_wage_income,.0676357661686834,.060158737,.26169568,1420,336,17,319,ok
full,linear_2009_2013,asinh_migrant_wage_income,.0504575424730813,.050368201,.31717592,1448,336,17,319,ok
full,linear_2009_2013,asinh_operated_area_end,.0286105364150355,.013604635,.03622504,1424,330,17,313,ok
full,linear_2009_2013,asinh_transfer_in_area,-.0284135383641077,.060045496,.6364485,936,274,12,262,ok
full,linear_2009_2013,asinh_transfer_in_area_zfill,.0099784773732529,.005584083,.074841581,1471,339,17,322,ok
full,linear_2009_2013,asinh_transfer_out_area_zfill,.0022082577716971,.013030753,.86553222,1471,339,17,322,ok
full,linear_2009_2014,any_transfer_in,.0117821963912205,.016150219,.4662914,1114,277,12,265,ok
full,linear_2009_2014,any_transfer_in_zfill,.0033082522814785,.0014435388,.022531793,1773,340,17,323,ok
full,linear_2009_2014,any_transfer_out_zfill,.0041878497489105,.0073085665,.56702077,1773,340,17,323,ok
full,linear_2009_2014,asinh_farm_income,-.0248434947991886,.021774413,.25469887,1766,339,17,322,ok
full,linear_2009_2014,asinh_household_income_total,-.0293863401032858,.020755107,.15773438,1773,340,17,323,ok
full,linear_2009_2014,asinh_local_wage_income,.0505467702646328,.043284141,.24371961,1712,337,17,320,ok
full,linear_2009_2014,asinh_migrant_wage_income,.059197467811842,.043190319,.17140871,1745,337,17,320,ok
full,linear_2009_2014,asinh_operated_area_end,.0186823985419759,.014323511,.1930345,1709,331,17,314,ok
full,linear_2009_2014,asinh_transfer_in_area,.0118585242023616,.057135504,.8357327,1114,277,12,265,ok
full,linear_2009_2014,asinh_transfer_in_area_zfill,.005670361403835,.0032885054,.085565746,1773,340,17,323,ok
full,linear_2009_2014,asinh_transfer_out_area_zfill,-.0002635291350473,.009583069,.97807753,1773,340,17,323,ok
full,placebo_2013,any_transfer_in,.0734535316825111,.038885925,.059958491,936,274,12,262,ok
full,placebo_2013,any_transfer_in_zfill,.0123357393173897,.0068448698,.072406717,1471,339,17,322,ok
full,placebo_2013,any_transfer_out_zfill,.0169749721353217,.020756513,.4140394,1471,339,17,322,ok
full,placebo_2013,asinh_farm_income,-.136993555281968,.18878464,.46855056,1467,338,17,321,ok
full,placebo_2013,asinh_household_income_total,-.1267160414208751,.12297484,.30354851,1471,339,17,322,ok
full,placebo_2013,asinh_local_wage_income,.2587958638349287,.21271273,.22459583,1420,336,17,319,ok
full,placebo_2013,asinh_migrant_wage_income,.2713106561409561,.15921877,.089306191,1448,336,17,319,ok
full,placebo_2013,asinh_operated_area_end,.0608467428110655,.053579684,.25693771,1424,330,17,313,ok
full,placebo_2013,asinh_transfer_in_area,-.1047783776158135,.15881291,.50996417,936,274,12,262,ok
full,placebo_2013,asinh_transfer_in_area_zfill,.0202462557408511,.012323297,.10132831,1471,339,17,322,ok
full,placebo_2013,asinh_transfer_out_area_zfill,.0111988608601504,.02906635,.70026779,1471,339,17,322,ok
full,placebo_2013_14,any_transfer_in,.0537660143842662,.061324175,.38138452,1114,277,12,265,ok
full,placebo_2013_14,any_transfer_in_zfill,.0084188264010836,.0056173885,.13487993,1773,340,17,323,ok
full,placebo_2013_14,any_transfer_out_zfill,.0131534604482219,.017649436,.45662951,1773,340,17,323,ok
full,placebo_2013_14,asinh_farm_income,-.063793063901085,.10544861,.54560602,1766,339,17,322,ok
full,placebo_2013_14,asinh_household_income_total,-.0958654986387843,.078227431,.22124828,1773,340,17,323,ok
full,placebo_2013_14,asinh_local_wage_income,.1869048651685337,.15354729,.22436474,1712,337,17,320,ok
full,placebo_2013_14,asinh_migrant_wage_income,.268013782580508,.14590874,.067113832,1745,337,17,320,ok
full,placebo_2013_14,asinh_operated_area_end,.0445871273796001,.05695045,.43424091,1709,331,17,314,ok
full,placebo_2013_14,asinh_transfer_in_area,.0383353993690409,.20241998,.84992993,1114,277,12,265,ok
full,placebo_2013_14,asinh_transfer_in_area_zfill,.0124923990323576,.0096892454,.19817084,1773,340,17,323,ok
full,placebo_2013_14,asinh_transfer_out_area_zfill,-.0000324499105088,.026152639,.99901074,1773,340,17,323,ok
full,placebo_2014,any_transfer_in,.0007283263729065,.10899918,.99467343,1114,277,12,265,ok
full,placebo_2014,any_transfer_in_zfill,.0029239360111477,.0063993568,.64802772,1773,340,17,323,ok
full,placebo_2014,any_transfer_out_zfill,.0057906357492057,.018559553,.75523007,1773,340,17,323,ok
full,placebo_2014,asinh_farm_income,.0463409980123687,.078249283,.55409747,1766,339,17,322,ok
full,placebo_2014,asinh_household_income_total,-.0456601327641335,.052698776,.38686377,1773,340,17,323,ok
full,placebo_2014,asinh_local_wage_income,.1538794001034257,.15667745,.32673693,1712,337,17,320,ok
full,placebo_2014,asinh_migrant_wage_income,.2436909060352084,.16332914,.13663128,1745,337,17,320,ok
full,placebo_2014,asinh_operated_area_end,.0202170978883323,.060425393,.73815489,1709,331,17,314,ok
full,placebo_2014,asinh_transfer_in_area,.0761152595872474,.31105876,.80687261,1114,277,12,265,ok
full,placebo_2014,asinh_transfer_in_area_zfill,.0012476471690155,.010311389,.90376508,1773,340,17,323,ok
full,placebo_2014,asinh_transfer_out_area_zfill,-.0135862943651867,.034568612,.69454879,1773,340,17,323,ok
