sample,spec,outcome,b,se,p,wild_p,N,households,counties,future_high_counties,control_counties,reps,status
countybal,placebo_2013_14,asinh_transfer_in_area_zfill,.0195071652151834,.01191293,.10311086,.088088088,75474,13819,200,10,190,999,ok
countybal,placebo_2013_14,asinh_transfer_out_area_zfill,-.0518638540914605,.028195325,.067339048,.073073074,75474,13819,200,10,190,999,ok
countybal,placebo_2014,any_transfer_in,.0458706182294029,.046151262,.32164246,.24224225,5986,3146,175,5,170,999,ok
countybal,placebo_2014,any_transfer_in_zfill,.0083911984218094,.0065575577,.20216779,.2042042,75474,13819,200,10,190,999,ok
countybal,placebo_2014,any_transfer_out_zfill,-.0299360806339603,.015189021,.050121397,.048048049,75474,13819,200,10,190,999,ok
countybal,placebo_2014,asinh_farm_income,.1024016976134826,.077640876,.18871331,.21921922,63601,12727,200,10,190,999,ok
countybal,placebo_2014,asinh_household_income_total,-.0361201935028349,.069734052,.60505408,.63563561,75336,13814,200,10,190,999,ok
countybal,placebo_2014,asinh_local_wage_income,.1608063954785209,.17941171,.37117645,.32832834,27388,8880,200,10,190,999,ok
countybal,placebo_2014,asinh_migrant_wage_income,.1928220894014439,.16920772,.25584009,.25825825,34940,9422,200,10,190,999,ok
countybal,placebo_2014,asinh_operated_area_end,.012921729541711,.078358248,.86918807,.86386389,59306,12102,197,10,187,999,ok
countybal,placebo_2014,asinh_transfer_in_area,-.0286758972338034,.25029847,.90892059,.87887889,5986,3146,175,5,170,999,ok
countybal,placebo_2014,asinh_transfer_in_area_zfill,.0045989224071197,.013700568,.73747045,.75275278,75474,13819,200,10,190,999,ok
countybal,placebo_2014,asinh_transfer_out_area_zfill,-.0793422853572531,.041206848,.055596832,.054054055,75474,13819,200,10,190,999,ok
full,linear_2009_2013,any_transfer_in,.0125552901455799,.013784684,.36319661,.23623623,6305,3723,274,12,262,999,ok
full,linear_2009_2013,any_transfer_in_zfill,.0066288758778805,.0024897768,.0081286253,.011011011,91031,22181,339,17,322,999,ok
full,linear_2009_2013,any_transfer_out_zfill,.0039601294020491,.010576646,.70832515,.77777779,91031,22181,339,17,322,999,ok
full,linear_2009_2013,asinh_farm_income,-.054032603738133,.035544094,.12940918,.065065064,77319,20243,338,17,321,999,ok
full,linear_2009_2013,asinh_household_income_total,-.038937712705053,.031924233,.22343226,.2042042,90832,22172,339,17,322,999,ok
full,linear_2009_2013,asinh_local_wage_income,.0338844022281956,.055041507,.53856635,.45845845,32210,12971,336,17,319,999,ok
full,linear_2009_2013,asinh_migrant_wage_income,.02749457456019,.043196876,.52488881,.48548549,41786,14041,336,17,319,999,ok
full,linear_2009_2013,asinh_operated_area_end,.0234088983648107,.014052222,.096695028,.062062062,71166,18886,330,17,313,999,ok
full,linear_2009_2013,asinh_transfer_in_area,.0596426373668118,.080192171,.45766953,.58458459,6305,3723,274,12,262,999,ok
full,linear_2009_2013,asinh_transfer_in_area_zfill,.0118488934547944,.0055684731,.034072552,.021021022,91031,22181,339,17,322,999,ok
full,linear_2009_2013,asinh_transfer_out_area_zfill,-.0019847372519635,.012907146,.87788254,.88188189,91031,22181,339,17,322,999,ok
full,linear_2009_2014,any_transfer_in,.0116331786905586,.018231086,.52394044,.41841841,7999,4344,277,12,265,999,ok
full,linear_2009_2014,any_transfer_in_zfill,.0041769468947486,.0014960885,.0055368762,.0040040039,109582,22561,340,17,323,999,ok
full,linear_2009_2014,any_transfer_out_zfill,.0030438836280915,.0074547213,.6832993,.8048048,109582,22561,340,17,323,999,ok
full,linear_2009_2014,asinh_farm_income,-.0211849162557127,.01963759,.28144878,.28528529,92173,20658,339,17,322,999,ok
full,linear_2009_2014,asinh_household_income_total,-.0280627310003636,.020660831,.17528519,.17417417,109354,22552,340,17,323,999,ok
full,linear_2009_2014,asinh_local_wage_income,.0234414965651415,.036524981,.52144486,.44444445,39985,14071,337,17,320,999,ok
full,linear_2009_2014,asinh_migrant_wage_income,.0449905577155305,.038046539,.23783799,.22022022,50413,14908,337,17,320,999,ok
full,linear_2009_2014,asinh_operated_area_end,.0158916663553557,.014190756,.26358762,.26426426,84896,19414,331,17,314,999,ok
full,linear_2009_2014,asinh_transfer_in_area,.0227391377201733,.074178055,.75941855,.72872871,7999,4344,277,12,265,999,ok
full,linear_2009_2014,asinh_transfer_in_area_zfill,.0073331589328538,.0033512523,.02933828,.020020019,109582,22561,340,17,323,999,ok
full,linear_2009_2014,asinh_transfer_out_area_zfill,-.0037564660301961,.0095366286,.69390345,.7087087,109582,22561,340,17,323,999,ok
full,placebo_2013,any_transfer_in,.0628110704022732,.042374376,.13941681,.15015015,6305,3723,274,12,262,999,ok
full,placebo_2013,any_transfer_in_zfill,.0150883395113116,.0065382048,.021618305,.015015015,91031,22181,339,17,322,999,ok
full,placebo_2013,any_transfer_out_zfill,.0139066995941842,.021116722,.51062453,.4934935,91031,22181,339,17,322,999,ok
full,placebo_2013,asinh_farm_income,-.1686883351766066,.18454629,.36133325,.43743744,77319,20243,338,17,321,999,ok
full,placebo_2013,asinh_household_income_total,-.1228173538023147,.12263317,.31730065,.36036035,90832,22172,339,17,322,999,ok
full,placebo_2013,asinh_local_wage_income,.1564868334376652,.16537915,.34471294,.22922923,32210,12971,336,17,319,999,ok
full,placebo_2013,asinh_migrant_wage_income,.1458568254752091,.10677692,.17285655,.17017017,41786,14041,336,17,319,999,ok
full,placebo_2013,asinh_operated_area_end,.0650002640721444,.046386413,.16207354,.11811811,71166,18886,330,17,313,999,ok
full,placebo_2013,asinh_transfer_in_area,.1689988621716485,.11213352,.13293572,.15015015,6305,3723,274,12,262,999,ok
full,placebo_2013,asinh_transfer_in_area_zfill,.024285177967872,.012151911,.046466831,.029029028,91031,22181,339,17,322,999,ok
full,placebo_2013,asinh_transfer_out_area_zfill,.0023456673127299,.029126668,.93586075,.94494492,91031,22181,339,17,322,999,ok
full,placebo_2013_14,any_transfer_in,.0391078797957165,.079887331,.62484974,.53553551,7999,4344,277,12,265,999,ok
full,placebo_2013_14,any_transfer_in_zfill,.0104861000224149,.0060357521,.08323697,.071071073,109582,22561,340,17,323,999,ok
full,placebo_2013_14,any_transfer_out_zfill,.0102560826563357,.017923037,.56754607,.62162161,109582,22561,340,17,323,999,ok
full,placebo_2013_14,asinh_farm_income,-.0664527133057395,.10023203,.50778961,.54254252,92173,20658,339,17,322,999,ok
full,placebo_2013_14,asinh_household_income_total,-.0939375590419094,.078821503,.23418283,.25425425,109354,22552,340,17,323,999,ok
full,placebo_2013_14,asinh_local_wage_income,.1170722467602336,.1240087,.34581488,.25825825,39985,14071,337,17,320,999,ok
full,placebo_2013_14,asinh_migrant_wage_income,.1903580686510425,.11482831,.098298699,.0990991,50413,14908,337,17,320,999,ok
full,placebo_2013_14,asinh_operated_area_end,.0465402563424464,.051054031,.36265093,.38638639,84896,19414,331,17,314,999,ok
full,placebo_2013_14,asinh_transfer_in_area,.1041158290529402,.20277718,.60804772,.5095095,7999,4344,277,12,265,999,ok
full,placebo_2013_14,asinh_transfer_in_area_zfill,.0166710605098674,.009953131,.094864942,.083083086,109582,22561,340,17,323,999,ok
full,placebo_2013_14,asinh_transfer_out_area_zfill,-.0091120115881931,.025958939,.72579414,.71671671,109582,22561,340,17,323,999,ok
full,placebo_2014,any_transfer_in,-.0252105078600979,.1423866,.85959369,.8928929,7999,4344,277,12,265,999,ok
full,placebo_2014,any_transfer_in_zfill,.0036722798392544,.007431983,.62154257,.6086086,109582,22561,340,17,323,999,ok
full,placebo_2014,any_transfer_out_zfill,.0032452498325854,.018466923,.86060852,.84984982,109582,22561,340,17,323,999,ok
full,placebo_2014,asinh_farm_income,.0706415659249136,.077030018,.35976225,.36736736,92173,20658,339,17,322,999,ok
full,placebo_2014,asinh_household_income_total,-.0449591780691338,.053557277,.40180296,.3983984,109354,22552,340,17,323,999,ok
full,placebo_2014,asinh_local_wage_income,.0728531104343635,.12067466,.54644048,.47047046,39985,14071,337,17,320,999,ok
full,placebo_2014,asinh_migrant_wage_income,.1799751065238683,.13842706,.19444278,.16116115,50413,14908,337,17,320,999,ok
full,placebo_2014,asinh_operated_area_end,.0177963852382413,.054373834,.74365091,.73273271,84896,19414,331,17,314,999,ok
full,placebo_2014,asinh_transfer_in_area,.0290368501987687,.21316974,.89175087,.85085088,7999,4344,277,12,265,999,ok
full,placebo_2014,asinh_transfer_in_area_zfill,.003983200375809,.010895128,.71489561,.66966969,109582,22561,340,17,323,999,ok
full,placebo_2014,asinh_transfer_out_area_zfill,-.0215873737557398,.033987381,.5257535,.46646646,109582,22561,340,17,323,999,ok
long0915,linear_2009_2013,any_transfer_in,.006278322453168,.012408622,.61340725,.52352351,4641,2664,213,9,204,999,ok
long0915,linear_2009_2013,any_transfer_in_zfill,.0060692494082915,.0024855323,.015301359,.024024025,66858,14231,253,14,239,999,ok
long0915,linear_2009_2013,any_transfer_out_zfill,.0028898857242604,.011113347,.79504728,.84384382,66858,14231,253,14,239,999,ok
long0915,linear_2009_2013,asinh_farm_income,-.0708694960554182,.036377829,.052507088,.023023022,57401,13224,253,14,239,999,ok
long0915,linear_2009_2013,asinh_household_income_total,-.0453279177474659,.034397621,.18877962,.1891892,66735,14228,253,14,239,999,ok
long0915,linear_2009_2013,asinh_local_wage_income,.0086660590135366,.056069564,.87729317,.82982981,23107,8533,252,14,238,999,ok
long0915,linear_2009_2013,asinh_migrant_wage_income,.0238680532925727,.042892296,.5783909,.52552551,30918,9465,251,14,237,999,ok
long0915,linear_2009_2013,asinh_operated_area_end,.0203898297078339,.015230437,.1818762,.14314315,53725,12523,249,14,235,999,ok
long0915,linear_2009_2013,asinh_transfer_in_area,.0525148704534397,.071830831,.46553087,.61261261,4641,2664,213,9,204,999,ok
long0915,linear_2009_2013,asinh_transfer_in_area_zfill,.010746724263661,.0061134086,.079979606,.056056056,66858,14231,253,14,239,999,ok
long0915,linear_2009_2013,asinh_transfer_out_area_zfill,-.0041198806690928,.01349395,.76037967,.77377379,66858,14231,253,14,239,999,ok
long0915,linear_2009_2014,any_transfer_in,.0072751667552588,.017898481,.68480849,.57757759,5912,3055,213,9,204,999,ok
long0915,linear_2009_2014,any_transfer_in_zfill,.0039505620490589,.0014800288,.0080959722,.011011011,80370,14231,253,14,239,999,ok
long0915,linear_2009_2014,any_transfer_out_zfill,-.0003716514884249,.0077926377,.961999,.97597599,80370,14231,253,14,239,999,ok
long0915,linear_2009_2014,asinh_farm_income,-.0286807953905854,.020818932,.16953962,.17617618,68250,13263,253,14,239,999,ok
long0915,linear_2009_2014,asinh_household_income_total,-.0327161014870849,.022625472,.14942385,.18018018,80226,14228,253,14,239,999,ok
long0915,linear_2009_2014,asinh_local_wage_income,.0253701916570259,.037344109,.49753413,.42042041,28601,9154,252,14,238,999,ok
long0915,linear_2009_2014,asinh_migrant_wage_income,.0455516165417453,.039805215,.25356758,.26826826,37286,9875,251,14,237,999,ok
long0915,linear_2009_2014,asinh_operated_area_end,.0128227505196151,.015557426,.41060621,.42942944,63843,12625,249,14,235,999,ok
long0915,linear_2009_2014,asinh_transfer_in_area,.0161694955620382,.07329955,.82562029,.78678679,5912,3055,213,9,204,999,ok
long0915,linear_2009_2014,asinh_transfer_in_area_zfill,.0067472831775106,.0036070505,.062562138,.04904905,80370,14231,253,14,239,999,ok
long0915,linear_2009_2014,asinh_transfer_out_area_zfill,-.0085552315946702,.010132791,.39929622,.4034034,80370,14231,253,14,239,999,ok
long0915,placebo_2013,any_transfer_in,.0503810185791346,.036172125,.16513516,.2972973,4641,2664,213,9,204,999,ok
long0915,placebo_2013,any_transfer_in_zfill,.0145610551374879,.0067092739,.030919341,.023023022,66858,14231,253,14,239,999,ok
long0915,placebo_2013,any_transfer_out_zfill,.0095345867597613,.022510922,.67225254,.64964962,66858,14231,253,14,239,999,ok
long0915,placebo_2013,asinh_farm_income,-.2104728706367437,.18959515,.26800659,.28128129,57401,13224,253,14,239,999,ok
long0915,placebo_2013,asinh_household_income_total,-.1407660511602453,.13035369,.28122905,.32032031,66735,14228,253,14,239,999,ok
long0915,placebo_2013,asinh_local_wage_income,.1077732129929379,.17962706,.54905874,.45045045,23107,8533,252,14,238,999,ok
long0915,placebo_2013,asinh_migrant_wage_income,.0846425271105095,.10404396,.41669035,.3883884,30918,9465,251,14,237,999,ok
long0915,placebo_2013,asinh_operated_area_end,.0571581744987878,.05064695,.26017359,.23423423,53725,12523,249,14,235,999,ok
long0915,placebo_2013,asinh_transfer_in_area,.1623027077122419,.090517044,.074388415,.27127126,4641,2664,213,9,204,999,ok
long0915,placebo_2013,asinh_transfer_in_area_zfill,.0223579534525347,.01283598,.082760289,.071071073,66858,14231,253,14,239,999,ok
long0915,placebo_2013,asinh_transfer_out_area_zfill,-.0054479850189599,.031006947,.86066914,.86286288,66858,14231,253,14,239,999,ok
long0915,placebo_2013_14,any_transfer_in,.0284239083137922,.087042473,.7443288,.66366369,5912,3055,213,9,204,999,ok
long0915,placebo_2013_14,any_transfer_in_zfill,.0102101990902229,.0058836532,.083901271,.066066064,80370,14231,253,14,239,999,ok
long0915,placebo_2013_14,any_transfer_out_zfill,-.0019863236813872,.018346841,.91387153,.92692691,80370,14231,253,14,239,999,ok
long0915,placebo_2013_14,asinh_farm_income,-.0838015516729363,.10469747,.42422366,.47247246,68250,13263,253,14,239,999,ok
long0915,placebo_2013_14,asinh_household_income_total,-.1072037203041204,.084719583,.20689858,.22322322,80226,14228,253,14,239,999,ok
long0915,placebo_2013_14,asinh_local_wage_income,.1370038063475617,.13484031,.31058639,.21921922,28601,9154,252,14,238,999,ok
long0915,placebo_2013_14,asinh_migrant_wage_income,.1637818931303926,.12105553,.17729433,.1921922,37286,9875,251,14,237,999,ok
long0915,placebo_2013_14,asinh_operated_area_end,.0374508431623435,.05604706,.50462508,.51751751,63843,12625,249,14,235,999,ok
long0915,placebo_2013_14,asinh_transfer_in_area,.0856424688418607,.22795396,.70751506,.65665668,5912,3055,213,9,204,999,ok
long0915,placebo_2013_14,asinh_transfer_in_area_zfill,.0154524976292469,.010401373,.1386293,.11411411,80370,14231,253,14,239,999,ok
long0915,placebo_2013_14,asinh_transfer_out_area_zfill,-.0261250621603869,.02771691,.34680483,.33633634,80370,14231,253,14,239,999,ok
long0915,placebo_2014,any_transfer_in,-.0252922478315033,.1380899,.85484922,.8908909,5912,3055,213,9,204,999,ok
long0915,placebo_2014,any_transfer_in_zfill,.0044679702077684,.0070100692,.52446598,.4934935,80370,14231,253,14,239,999,ok
long0915,placebo_2014,any_transfer_out_zfill,-.0139610177409557,.017553154,.4271546,.4104104,80370,14231,253,14,239,999,ok
long0915,placebo_2014,asinh_farm_income,.0776697757134211,.074326716,.29703453,.26726726,68250,13263,253,14,239,999,ok
long0915,placebo_2014,asinh_household_income_total,-.0512010054601135,.057240315,.37191221,.36636636,80226,14228,253,14,239,999,ok
long0915,placebo_2014,asinh_local_wage_income,.1243501395717128,.1219821,.30898848,.24024025,28601,9154,252,14,238,999,ok
long0915,placebo_2014,asinh_migrant_wage_income,.1931329440412701,.1448417,.18361193,.18618618,37286,9875,251,14,237,999,ok
long0915,placebo_2014,asinh_operated_area_end,.0113620790457543,.058052633,.84498936,.81581581,63843,12625,249,14,235,999,ok
long0915,placebo_2014,asinh_transfer_in_area,.0285231309576161,.21644691,.89528418,.87587589,5912,3055,213,9,204,999,ok
long0915,placebo_2014,asinh_transfer_in_area_zfill,.0053071243526261,.011848343,.65459484,.66166168,80370,14231,253,14,239,999,ok
long0915,placebo_2014,asinh_transfer_out_area_zfill,-.0438367862105132,.035810702,.22204818,.1911912,80370,14231,253,14,239,999,ok
overlap,linear_2009_2013,any_transfer_in,.0191540246842366,.015959794,.2313866,.32532534,1759,1011,219,10,209,999,ok
overlap,linear_2009_2013,any_transfer_in_zfill,.0074210530449235,.0037239171,.047126185,.031031031,24126,5636,323,17,306,999,ok
overlap,linear_2009_2013,any_transfer_out_zfill,-.0032215967644334,.0088320989,.71552998,.72372371,24126,5636,323,17,306,999,ok
overlap,linear_2009_2013,asinh_farm_income,-.0523270916312946,.030198045,.084098123,.031031031,20734,5236,320,17,303,999,ok
overlap,linear_2009_2013,asinh_household_income_total,-.0230407929835154,.032012157,.47220019,.48748749,24072,5635,323,17,306,999,ok
overlap,linear_2009_2013,asinh_local_wage_income,.002621824889006,.059699811,.96499836,.95695698,8699,3395,318,17,301,999,ok
overlap,linear_2009_2013,asinh_migrant_wage_income,.0306098479581011,.04804891,.52454668,.46646646,11439,3694,319,17,302,999,ok
overlap,linear_2009_2013,asinh_operated_area_end,.0258970833701979,.013765792,.060870051,.021021022,19102,4877,312,17,295,999,ok
overlap,linear_2009_2013,asinh_transfer_in_area,.3217734338218478,.048911341,3.4712466e-10,.062062062,1759,1011,219,10,209,999,ok
overlap,linear_2009_2013,asinh_transfer_in_area_zfill,.0105033568812912,.0064219343,.10291214,.074074075,24126,5636,323,17,306,999,ok
overlap,linear_2009_2013,asinh_transfer_out_area_zfill,-.0082603931591811,.012313242,.50279415,.44244245,24126,5636,323,17,306,999,ok
overlap,linear_2009_2014,any_transfer_in,-.0090005750238333,.042831901,.83374828,.85985988,2270,1179,229,11,218,999,ok
overlap,linear_2009_2014,any_transfer_in_zfill,.0052005524675413,.0030132346,.085318126,.058058057,29281,5727,325,17,308,999,ok
overlap,linear_2009_2014,any_transfer_out_zfill,-.0005638010501439,.0074079782,.93938071,.92892891,29281,5727,325,17,308,999,ok
overlap,linear_2009_2014,asinh_farm_income,-.0279141496464195,.016526049,.092168294,.074074075,24931,5330,323,17,306,999,ok
overlap,linear_2009_2014,asinh_household_income_total,-.0229555028214472,.020847492,.27166364,.25625625,29218,5726,325,17,308,999,ok
overlap,linear_2009_2014,asinh_local_wage_income,-.0239440386552122,.046326157,.60561353,.55055058,10899,3685,320,17,303,999,ok
overlap,linear_2009_2014,asinh_migrant_wage_income,.0535986694523751,.0392344,.17286238,.16216215,13926,3928,321,17,304,999,ok
overlap,linear_2009_2014,asinh_operated_area_end,.0123471422360771,.015678143,.4315626,.44244245,22979,4992,314,17,297,999,ok
overlap,linear_2009_2014,asinh_transfer_in_area,.1008437156911182,.14241029,.47959343,.8048048,2270,1179,229,11,218,999,ok
overlap,linear_2009_2014,asinh_transfer_in_area_zfill,.0070553778830683,.004558634,.12267177,.085085087,29281,5727,325,17,308,999,ok
overlap,linear_2009_2014,asinh_transfer_out_area_zfill,-.007433291866282,.010154091,.46466786,.42342341,29281,5727,325,17,308,999,ok
overlap,placebo_2013,any_transfer_in,.0610096853656351,.04786852,.20383385,.16516517,1759,1011,219,10,209,999,ok
overlap,placebo_2013,any_transfer_in_zfill,.0165507700832359,.0075254915,.028567543,.024024025,24126,5636,323,17,306,999,ok
overlap,placebo_2013,any_transfer_out_zfill,-.0129488998427426,.017690869,.46472913,.44344345,24126,5636,323,17,306,999,ok
overlap,placebo_2013,asinh_farm_income,-.1822562712912441,.15216835,.23191214,.18318318,20734,5236,320,17,303,999,ok
overlap,placebo_2013,asinh_household_income_total,-.0958819764677201,.10625178,.36751708,.4114114,24072,5635,323,17,306,999,ok
overlap,placebo_2013,asinh_local_wage_income,.136833512916231,.12917586,.29027835,.18118118,8699,3395,318,17,301,999,ok
overlap,placebo_2013,asinh_migrant_wage_income,.1375676534588438,.093680404,.14296277,.12712713,11439,3694,319,17,302,999,ok
overlap,placebo_2013,asinh_operated_area_end,.0536687488396972,.05606769,.339203,.36036035,19102,4877,312,17,295,999,ok
overlap,placebo_2013,asinh_transfer_in_area,.2843259702728064,.19329733,.1427532,.15515515,1759,1011,219,10,209,999,ok
overlap,placebo_2013,asinh_transfer_in_area_zfill,.0196102792052985,.012296653,.11174569,.073073074,24126,5636,323,17,306,999,ok
overlap,placebo_2013,asinh_transfer_out_area_zfill,-.0304679438899437,.02834609,.28324428,.22022022,24126,5636,323,17,306,999,ok
overlap,placebo_2013_14,any_transfer_in,-.0202534026962034,.12397274,.870372,.87087089,2270,1179,229,11,218,999,ok
overlap,placebo_2013_14,any_transfer_in_zfill,.0147447596543962,.0077884938,.059229303,.036036037,29281,5727,325,17,308,999,ok
overlap,placebo_2013_14,any_transfer_out_zfill,-.0037936334247199,.019934377,.84918845,.86486489,29281,5727,325,17,308,999,ok
overlap,placebo_2013_14,asinh_farm_income,-.1008028766309702,.079825953,.20758078,.17817818,24931,5330,323,17,306,999,ok
overlap,placebo_2013_14,asinh_household_income_total,-.0914673889447858,.0696989,.19034049,.17617618,29218,5726,325,17,308,999,ok
overlap,placebo_2013_14,asinh_local_wage_income,.0070202066809883,.13760071,.95934254,.95495498,10899,3685,320,17,303,999,ok
overlap,placebo_2013_14,asinh_migrant_wage_income,.2093440746615046,.10941247,.056595698,.069069073,13926,3928,321,17,304,999,ok
overlap,placebo_2013_14,asinh_operated_area_end,.0242642153388514,.062383357,.69757515,.68268269,22979,4992,314,17,297,999,ok
overlap,placebo_2013_14,asinh_transfer_in_area,.1696418576678841,.19072995,.37470689,.34534535,2270,1179,229,11,218,999,ok
overlap,placebo_2013_14,asinh_transfer_in_area_zfill,.0166997813764023,.013850351,.22880147,.17817818,29281,5727,325,17,308,999,ok
overlap,placebo_2013_14,asinh_transfer_out_area_zfill,-.0284687207591459,.030413741,.34994563,.3083083,29281,5727,325,17,308,999,ok
overlap,placebo_2014,any_transfer_in,-.1144575268754569,.22164981,.60608321,.76576579,2270,1179,229,11,218,999,ok
overlap,placebo_2014,any_transfer_in_zfill,.0071177371998719,.012314499,.56366801,.56556559,29281,5727,325,17,308,999,ok
overlap,placebo_2014,any_transfer_out_zfill,.0045883963215496,.022856541,.8410219,.83683681,29281,5727,325,17,308,999,ok
overlap,placebo_2014,asinh_farm_income,.0184841173534867,.075598449,.80699629,.7897898,24931,5330,323,17,306,999,ok
overlap,placebo_2014,asinh_household_income_total,-.0719837850814303,.047822092,.13323629,.11611611,29218,5726,325,17,308,999,ok
overlap,placebo_2014,asinh_local_wage_income,-.1231825259338255,.15590219,.4300406,.35935935,10899,3685,320,17,303,999,ok
overlap,placebo_2014,asinh_migrant_wage_income,.2063331905186024,.15219451,.17614418,.13213213,13926,3928,321,17,304,999,ok
overlap,placebo_2014,asinh_operated_area_end,-.0175014086046518,.067444965,.79542649,.8008008,22979,4992,314,17,297,999,ok
