anchor,spec,model,outcome,b,se,p,N,households,counties,treated_counties,control_counties,status
future_high,linear_2009_2013,prov_baseyear,asinh_transfer_in_area_zfill,.0037846585616529,.0036061702,.29480636,83626,19240,297,17,280,ok
future_high,linear_2009_2013,provyear,any_transfer_in_zfill,.0054248196311974,.0025425761,.033608865,90146,21296,333,17,316,ok
future_high,linear_2009_2013,provyear,asinh_operated_area_end,.0323073946825066,.014830129,.03009625,69434,17155,322,17,305,ok
future_high,linear_2009_2013,provyear,asinh_transfer_in_area_zfill,.0087060232771192,.0039786831,.029353995,90146,21296,333,17,316,ok
future_high,linear_2009_2013,yearfe,any_transfer_in_zfill,.0066288758778785,.0024777106,.0078338077,90146,21296,333,17,316,ok
future_high,linear_2009_2013,yearfe,asinh_operated_area_end,.023408898364791,.013880826,.092683546,69436,17156,323,17,306,ok
future_high,linear_2009_2013,yearfe,asinh_transfer_in_area_zfill,.0118488934547873,.0055414862,.033228897,90146,21296,333,17,316,ok
future_high,linear_2009_2014,prov_baseyear,any_transfer_in_zfill,.0019070048154657,.0014981517,.20405062,100031,19483,297,17,280,ok
future_high,linear_2009_2014,prov_baseyear,asinh_operated_area_end,.021829426498796,.013465958,.10606831,78691,16400,296,17,279,ok
future_high,linear_2009_2014,prov_baseyear,asinh_transfer_in_area_zfill,.0038506107604144,.0027758086,.16642338,100031,19483,297,17,280,ok
future_high,linear_2009_2014,provyear,any_transfer_in_zfill,.0035787819141668,.0015995961,.02592374,108738,21717,336,17,319,ok
future_high,linear_2009_2014,provyear,asinh_operated_area_end,.0230897418814273,.014192697,.10473277,83203,17722,326,17,309,ok
future_high,linear_2009_2014,provyear,asinh_transfer_in_area_zfill,.0068179126758416,.0027962746,.015279302,108738,21717,336,17,319,ok
future_high,linear_2009_2014,yearfe,any_transfer_in_zfill,.0041769468947419,.001490342,.0053630406,108738,21717,336,17,319,ok
future_high,linear_2009_2014,yearfe,asinh_operated_area_end,.0158916663553431,.014048956,.2588203,83204,17722,326,17,309,ok
future_high,linear_2009_2014,yearfe,asinh_transfer_in_area_zfill,.0073331589328407,.0033383803,.028732128,108738,21717,336,17,319,ok
future_high,placebo_2013,prov_baseyear,any_transfer_in_zfill,.0097086727819415,.0073497635,.18753821,83626,19240,297,17,280,ok
future_high,placebo_2013,prov_baseyear,asinh_operated_area_end,.0692445967049329,.036693666,.060128652,66242,16016,296,17,279,ok
future_high,placebo_2013,prov_baseyear,asinh_transfer_in_area_zfill,.0135787891097095,.010654908,.20351547,83626,19240,297,17,280,ok
future_high,placebo_2013,provyear,any_transfer_in_zfill,.0132166747138674,.0068322006,.053904966,90146,21296,333,17,316,ok
future_high,placebo_2013,provyear,asinh_operated_area_end,.0743955312454565,.037847545,.050199233,69434,17155,322,17,305,ok
future_high,placebo_2013,provyear,asinh_transfer_in_area_zfill,.0199531733095436,.010876666,.067475475,90146,21296,333,17,316,ok
future_high,placebo_2013,yearfe,any_transfer_in_zfill,.0150883395113037,.0065065185,.021004004,90146,21296,333,17,316,ok
future_high,placebo_2013,yearfe,asinh_operated_area_end,.0650002640721197,.045820635,.15698847,69436,17156,323,17,306,ok
future_high,placebo_2013,yearfe,asinh_transfer_in_area_zfill,.0242851779678542,.012093018,.045431845,90146,21296,333,17,316,ok
future_high,placebo_2013_14,prov_baseyear,any_transfer_in_zfill,.0057544189664748,.0060863239,.3451916,100031,19483,297,17,280,ok
future_high,placebo_2013_14,prov_baseyear,asinh_operated_area_end,.0552360174605383,.042701278,.19683462,78691,16400,296,17,279,ok
