group,sample,spec,outcome,b,se,p,N,households,counties,treated_counties,control_counties,status
high16_vs_never,full,placebo_2013_14,asinh_household_income_total,.0009257481155954,.052426394,.98592246,105484,21799,327,4,323,ok
high16_vs_never,full,placebo_2013_14,asinh_operated_area_end,.0015331294850006,.09188471,.98669815,81594,18703,318,4,314,ok
high16_vs_never,full,placebo_2013_14,asinh_transfer_in_area_zfill,.0245623303418867,.01872628,.19056113,105708,21808,327,4,323,ok
high16_vs_never,full,placebo_2014,any_transfer_in_zfill,.0119943620958169,.0070762448,.091026895,105708,21808,327,4,323,ok
high16_vs_never,full,placebo_2014,asinh_farm_income,.1413068892973205,.051030912,.0059448937,88733,19947,326,4,322,ok
high16_vs_never,full,placebo_2014,asinh_household_income_total,.014249362300273,.055129331,.79620612,105484,21799,327,4,323,ok
high16_vs_never,full,placebo_2014,asinh_operated_area_end,-.0365763022788679,.14343293,.79888362,81594,18703,318,4,314,ok
high16_vs_never,full,placebo_2014,asinh_transfer_in_area_zfill,.0101853343427352,.013971097,.46650738,105708,21808,327,4,323,ok
high17_vs_never,countybal,linear_2009_2013,any_transfer_in_zfill,.0059088340398365,.002279504,.010259697,61742,13441,196,6,190,ok
high17_vs_never,countybal,linear_2009_2013,asinh_farm_income,-.1196802655541199,.070163861,.089651488,52452,12334,196,6,190,ok
high17_vs_never,countybal,linear_2009_2013,asinh_household_income_total,-.0764557095879497,.073319368,.29834288,61620,13436,196,6,190,ok
high17_vs_never,countybal,linear_2009_2013,asinh_operated_area_end,.0296410755848809,.030242585,.32826492,48928,11646,193,6,187,ok
high17_vs_never,countybal,linear_2009_2013,asinh_transfer_in_area_zfill,.0086803734792714,.0070709228,.22107126,61742,13441,196,6,190,ok
high17_vs_never,countybal,linear_2009_2014,any_transfer_in_zfill,.0044856741848584,.0013828768,.001388066,74073,13584,196,6,190,ok
high17_vs_never,countybal,linear_2009_2014,asinh_farm_income,-.0550817821142699,.032138642,.088139772,62249,12494,196,6,190,ok
high17_vs_never,countybal,linear_2009_2014,asinh_household_income_total,-.0538655514446391,.046919037,.25235304,73937,13579,196,6,190,ok
high17_vs_never,countybal,linear_2009_2014,asinh_operated_area_end,.0227019149660335,.029875688,.44825882,58150,11890,193,6,187,ok
high17_vs_never,countybal,linear_2009_2014,asinh_transfer_in_area_zfill,.0057009155657725,.0039453567,.15007178,74073,13584,196,6,190,ok
high17_vs_never,countybal,placebo_2013,any_transfer_in_zfill,.021490499613489,.009639319,.026924154,61742,13441,196,6,190,ok
high17_vs_never,countybal,placebo_2013,asinh_farm_income,-.4824298885100273,.34465173,.16317391,52452,12334,196,6,190,ok
high17_vs_never,countybal,placebo_2013,asinh_household_income_total,-.2861936297142996,.26145861,.27504036,61620,13436,196,6,190,ok
high17_vs_never,countybal,placebo_2013,asinh_operated_area_end,.0804339154430238,.094048604,.39348549,48928,11646,193,6,187,ok
high17_vs_never,countybal,placebo_2013,asinh_transfer_in_area_zfill,.0253329914735984,.015042826,.093770452,61742,13441,196,6,190,ok
high17_vs_never,countybal,placebo_2013_14,any_transfer_in_zfill,.0167471464171195,.0064639789,.010297675,74073,13584,196,6,190,ok
high17_vs_never,countybal,placebo_2013_14,asinh_farm_income,-.2464055233959489,.17436679,.15920736,62249,12494,196,6,190,ok
high17_vs_never,countybal,placebo_2013_14,asinh_household_income_total,-.2080471631066422,.16940424,.22088568,73937,13579,196,6,190,ok
high17_vs_never,countybal,placebo_2013_14,asinh_operated_area_end,.0673314640810646,.10215396,.51061004,58150,11890,193,6,187,ok
high17_vs_never,countybal,placebo_2013_14,asinh_transfer_in_area_zfill,.0176746778828903,.011309854,.1197286,74073,13584,196,6,190,ok
high17_vs_never,countybal,placebo_2014,any_transfer_in_zfill,.0073101313839975,.008592437,.39594424,74073,13584,196,6,190,ok
high17_vs_never,countybal,placebo_2014,asinh_farm_income,.089882688735036,.12388422,.46899197,62249,12494,196,6,190,ok
high17_vs_never,countybal,placebo_2014,asinh_household_income_total,-.0676521014682562,.11112533,.5433715,73937,13579,196,6,190,ok
high17_vs_never,countybal,placebo_2014,asinh_operated_area_end,.0374561852977715,.092740871,.68675041,58150,11890,193,6,187,ok
high17_vs_never,countybal,placebo_2014,asinh_transfer_in_area_zfill,.0041306934932933,.013465681,.75935555,74073,13584,196,6,190,ok
high17_vs_never,full,linear_2009_2013,any_transfer_in_zfill,.0064522866435962,.0030516761,.035226699,89864,21946,335,13,322,ok
