year,rows,future_high_rows,future_high_county,mean_any_transfer_in,mean_asinh_transfer_in
2009,19336,963,1,.0597848572610674,.1247285877730424
2010,18905,964,1,.0490346469188045,.0983599690419381
2011,16883,741,1,.0507611206539122,.1074495063425017
2012,17876,892,1,.0505705974490938,.1032059966303456
2013,18031,843,1,.0416504908213632,.0904183617045553
2014,18551,872,1,.0430704544229422,.1021227989898796
