county_id_num,first_any_year,first_mid_year,first_high_year,ever_any,ever_mid,ever_high,completion_max
550101,,,,,,,
550103,,,,,,,
550105,,,,,,,
550106,,,,,,,
550109,,,,,,,
550110,,,,,,,
550111,,,,,,,
550113,,,,,,,
550114,,,,,,,
550115,,,,,,,
550116,,,,,,,
610101,2017,2017,2017,1,1,1,.9040000000000001
610102,2017,2017,2017,1,1,1,.9040000000000001
610103,2017,2017,2017,1,1,1,.9040000000000001
610104,,,,,,,
610105,,,,,,,
610106,,,,,,,
610107,,,,,,,
610108,,,,,,,
610109,,,,,,,
610110,,,,,,,
610111,,,,,,,
610112,,,,,,,
610113,,,,,,,
610114,,,,,,,
610115,,,,,,,
610116,,,,,,,
610117,,,,,,,
610118,,,,,,,
610119,,,,,,,
610120,,,,,,,
610121,,,,,,,
610122,,,,,,,
610123,,,,,,,
610124,,,,,,,
610125,,,,,,,
620101,,,,0,,,
620102,,,,0,,,
620103,,,,,,,
620105,,,,,,,
620106,,,,,,,
620107,,,,,,,
620108,,,,,,,
620109,,,,,,,
620111,,,,,,,
620112,,,,,,,
620113,,,,,,,
620114,,,,,,,
620115,,,,,,,
630104,,,,,,,
630105,,,,,,,
630106,,,,,,,
630107,,,,,,,
640101,,,,,,,
640102,2017,2017,2017,1,1,1,.994
640103,,,,,,,
640104,2017,2017,2017,1,1,1,.9939999999999999
640105,2017,2017,2017,1,1,1,.9939999999999999
640106,2017,2017,2017,1,1,1,.994
640107,,,,,,,
650101,,,,,,,
650102,,,,,,,
650103,,,,,,,
650104,,,,,,,
650105,,,,,,,
