scope,anchor,design,a3_group,orientation,outcome,outcome_label,family,fe,term,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,top farmdep-minus-bottom differential,-0.07462223060042539,0.07810482361130569,0.33936974476674364,1232,83,0.12609542356377798,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,top farmdep group DID,-0.0508032485708889,0.04316473331874144,0.23921069485133395,1232,83,0.12609542356377798,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,bottom group DID,0.06946370178453544,0.042205410406234295,0.09979500107316837,1228,82,0.12609542356377798,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,top farmdep-minus-bottom differential,0.0536374232710336,0.11353616721560089,0.6366228381445045,1228,82,0.12609542356377798,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,top farmdep group DID,0.12310112505556904,0.10104172752522382,0.2231025146054464,1228,82,0.12609542356377798,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,bottom group DID,0.005950522956321514,0.05883953944989348,0.9194461797943472,1174,82,0.11538461538461539,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,top farmdep-minus-bottom differential,-0.01311503912883841,0.06467497878748123,0.8393040065128947,1174,82,0.11538461538461539,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,top farmdep group DID,-0.007164516172516897,0.027478867655295808,0.7943021043476189,1174,82,0.11538461538461539,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,bottom group DID,0.05657407062701692,0.04565172224048535,0.21525151929947928,1166,80,0.11538461538461539,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,top farmdep-minus-bottom differential,0.05535940092032106,0.11639403850737755,0.6343447059467264,1166,80,0.11538461538461539,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,top farmdep group DID,0.11193347154733799,0.10815417818448872,0.3006952642094255,1166,80,0.11538461538461539,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rb_farm_any,Any own-farm production,farm-exit,stackyear,bottom group DID,-0.1428591815372388,0.10444998488119857,0.17139719427732392,1226,82,0.7668292682926829,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rb_farm_any,Any own-farm production,farm-exit,stackyear,top farmdep-minus-bottom differential,0.13522164492580957,0.11414136492687113,0.23614173115226977,1226,82,0.7668292682926829,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rb_farm_any,Any own-farm production,farm-exit,stackyear,top farmdep group DID,-0.007637536611429241,0.04797215603996776,0.8735052377771215,1226,82,0.7668292682926829,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rb_farm_any,Any own-farm production,farm-exit,provyear,bottom group DID,-0.0966494702405642,0.11645156111680534,0.40656464014397353,1222,81,0.7668292682926829,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rb_farm_any,Any own-farm production,farm-exit,provyear,top farmdep-minus-bottom differential,0.3605174864280667,0.15727031729622706,0.02188586737152661,1222,81,0.7668292682926829,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rb_farm_any,Any own-farm production,farm-exit,provyear,top farmdep group DID,0.2638680161875025,0.16847607214731292,0.11730070255389553,1222,81,0.7668292682926829,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,bottom group DID,-2.7562815932032962,0.9118003024543868,0.0025036454478803176,1210,83,6.273854553543186,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,top farmdep-minus-bottom differential,1.5877167922756263,1.1705990868379301,0.17499470166027087,1210,83,6.273854553543186,ok
