scope,anchor,variable,N_nonmissing,mean,sd,p10,p50,p90,min,max
adjacent,completed_t,z_base_farmdep,4714,0.024193212378077453,0.9822032132265185,-0.8177495696554248,-0.40918018013985186,1.2250973779224397,-0.8177495696554248,11.439332115811762
adjacent,completed_t,farmdep_z_w99,4714,1.2058425723548582e-17,1.0,-0.9299382924848953,-0.46755042532377883,1.382001043320687,-0.9299382924848953,2.3642449839900808
adjacent,completed_t,farmdep_top3,4714,0.3663555366991939,0.48185932854070157,0.0,0.0,1.0,0.0,1.0
adjacent,completed_t,farmdep_bot3,4714,0.31777683495969455,0.4656615911006059,0.0,0.0,1.0,0.0,1.0
adjacent,completed_t,farm_orientation_z,4885,-1.745447866759714e-17,1.0,-1.173391996960169,0.09020436936800376,0.9399450935793239,-2.175331433706105,20.516211599524073
adjacent,completed_t,farm_orientation_top3,4885,0.3465711361310133,0.47592641382676865,0.0,0.0,1.0,0.0,1.0
adjacent,completed_t,nonfarm_orientation_top3,4902,0.44063647490820074,0.49651411142480917,0.0,0.0,1.0,0.0,1.0
adjacent,high_sat80_t,z_base_farmdep,4714,0.024193212378077453,0.9822032132265185,-0.8177495696554248,-0.40918018013985186,1.2250973779224397,-0.8177495696554248,11.439332115811762
adjacent,high_sat80_t,farmdep_z_w99,4714,1.2058425723548582e-17,1.0,-0.9299382924848953,-0.46755042532377883,1.382001043320687,-0.9299382924848953,2.3642449839900808
adjacent,high_sat80_t,farmdep_top3,4714,0.3663555366991939,0.48185932854070157,0.0,0.0,1.0,0.0,1.0
adjacent,high_sat80_t,farmdep_bot3,4714,0.31777683495969455,0.4656615911006059,0.0,0.0,1.0,0.0,1.0
adjacent,high_sat80_t,farm_orientation_z,4885,-1.745447866759714e-17,1.0,-1.173391996960169,0.09020436936800376,0.9399450935793239,-2.175331433706105,20.516211599524073
adjacent,high_sat80_t,farm_orientation_top3,4885,0.3465711361310133,0.47592641382676865,0.0,0.0,1.0,0.0,1.0
adjacent,high_sat80_t,nonfarm_orientation_top3,4902,0.44063647490820074,0.49651411142480917,0.0,0.0,1.0,0.0,1.0
adjacent,signoff_or_issue_t,z_base_farmdep,4725,0.02292159755597884,0.9817936991890683,-0.8177495696554248,-0.40918018013985186,1.2250973779224397,-0.8177495696554248,11.439332115811762
adjacent,signoff_or_issue_t,farmdep_z_w99,4725,-1.804552979708191e-17,1.0,-0.928894392353846,-0.4662995046672362,1.3840800460792027,-0.928894392353846,2.3594944092584114
adjacent,signoff_or_issue_t,farmdep_top3,4725,0.3657142857142857,0.4816808600614711,0.0,0.0,1.0,0.0,1.0
adjacent,signoff_or_issue_t,farmdep_bot3,4725,0.3178835978835979,0.46570324940561764,0.0,0.0,1.0,0.0,1.0
adjacent,signoff_or_issue_t,farm_orientation_z,4896,-2.322035084183334e-17,1.0,-1.1720019839305051,0.08980912319074603,0.9413896166534291,-2.17396726405158,20.51816106010295
adjacent,signoff_or_issue_t,farm_orientation_top3,4896,0.3459967320261438,0.47574070755707626,0.0,0.0,1.0,0.0,1.0
adjacent,signoff_or_issue_t,nonfarm_orientation_top3,4913,0.44148178302462854,0.4966143543046057,0.0,0.0,1.0,0.0,1.0
mech,completed_t,z_base_farmdep,4810,0.023685741762460077,0.982910741768734,-0.8171613371093075,-0.40740153480763175,1.2316376743990711,-0.8171613371093075,11.475632731940964
mech,completed_t,farmdep_z_w99,4810,-4.136215509622205e-17,0.9999999999999999,-0.9248413993783554,-0.46399696808958163,1.3793807570655132,-0.9248413993783554,2.5166789785674273
mech,completed_t,farmdep_top3,4810,0.3656964656964657,0.4816749897661849,0.0,0.0,1.0,0.0,1.0
mech,completed_t,farmdep_bot3,4810,0.3191268191268191,0.466186738773936,0.0,0.0,1.0,0.0,1.0
mech,completed_t,farm_orientation_z,4983,-5.703734583665263e-18,1.0,-1.180502453661373,0.09006552309993138,0.9435782816052339,-2.1700111832773037,20.678881778042527
mech,completed_t,farm_orientation_top3,4983,0.3453742725265904,0.4755378701573421,0.0,0.0,1.0,0.0,1.0
mech,completed_t,nonfarm_orientation_top3,5000,0.443,0.49679005633367335,0.0,0.0,1.0,0.0,1.0
mech,high_sat80_t,z_base_farmdep,4810,0.023685741762460077,0.982910741768734,-0.8171613371093075,-0.40740153480763175,1.2316376743990711,-0.8171613371093075,11.475632731940964
mech,high_sat80_t,farmdep_z_w99,4810,-4.136215509622205e-17,0.9999999999999999,-0.9248413993783554,-0.46399696808958163,1.3793807570655132,-0.9248413993783554,2.5166789785674273
mech,high_sat80_t,farmdep_top3,4810,0.3656964656964657,0.4816749897661849,0.0,0.0,1.0,0.0,1.0
mech,high_sat80_t,farmdep_bot3,4810,0.3191268191268191,0.466186738773936,0.0,0.0,1.0,0.0,1.0
mech,high_sat80_t,farm_orientation_z,4983,-5.703734583665263e-18,1.0,-1.180502453661373,0.09006552309993138,0.9435782816052339,-2.1700111832773037,20.678881778042527
mech,high_sat80_t,farm_orientation_top3,4983,0.3453742725265904,0.4755378701573421,0.0,0.0,1.0,0.0,1.0
mech,high_sat80_t,nonfarm_orientation_top3,5000,0.443,0.49679005633367335,0.0,0.0,1.0,0.0,1.0
mech,signoff_or_issue_t,z_base_farmdep,4822,0.022269794764268793,0.9824802809904635,-0.8171613371093075,-0.40740153480763175,1.2316376743990711,-0.8171613371093075,11.475632731940964
mech,signoff_or_issue_t,farmdep_z_w99,4822,5.894174498217339e-17,1.0,-0.9238346811984999,-0.4626235078707554,1.3822211854402229,-0.9238346811984999,2.500658280759997
mech,signoff_or_issue_t,farmdep_top3,4822,0.3649937785151389,0.4814783442037905,0.0,0.0,1.0,0.0,1.0
mech,signoff_or_issue_t,farmdep_bot3,4822,0.3193695562007466,0.4662807431977525,0.0,0.0,1.0,0.0,1.0
mech,signoff_or_issue_t,farm_orientation_z,4995,9.9575558564979e-18,1.0,-1.1956019653454961,0.09096622259817455,0.9448856745176376,-2.16847287021501,20.68098402284899
mech,signoff_or_issue_t,farm_orientation_top3,4995,0.34474474474474476,0.47533255638226407,0.0,0.0,1.0,0.0,1.0
mech,signoff_or_issue_t,nonfarm_orientation_top3,5012,0.4439345570630487,0.49689629608501285,0.0,0.0,1.0,0.0,1.0
