sample_scope,threshold,outcome,weight_spec,lower_b,lower_se,lower_p,diff_b,diff_se,diff_p,high_total_b,high_total_se,high_total_p,N,households,clusters,meandv
mech,completed_t,any_rentin,ipw2014_simple,-.0518901145539819,.052897789,.32843918,.15854524,.062081244,.011808399,.10665514,.032936603,.0015267981,2670,1335,131,.1382022471910112
mech,completed_t,any_rentin,ipw_simple_x_count,-.0047232548037978,.04333378,.91337287,.12068263,.072710834,.099372923,.11595937,.0586702,.050219394,2670,1335,131,.1382022471910112
mech,completed_t,any_rentin,ipw_x_county,-.005410803148557,.044558797,.90353745,.11033212,.073645376,.13651749,.10492132,.058770813,.076550566,2670,1335,131,.1382022471910112
mech,completed_t,any_rentin,overlap2014,-.058295997377083,.058881715,.32398757,.15573387,.067791991,.023203868,.097437866,.033705775,.0045044399,2670,1335,131,.1382022471910112
mech,completed_t,any_rentin,overlap_x_county,-.0071070218452276,.048150774,.88288766,.11437647,.075578384,.13261843,.10726945,.058389466,.068473428,2670,1335,131,.1382022471910112
mech,completed_t,any_rentin,unweighted,-.0454650906324117,.050589878,.37037823,.21571271,.063306563,.00085961481,.17024761,.038129225,.000016507765,3024,1512,139,.1402116402116402
mech,completed_t,asinh_rentin,county_bal,-.0232353014778511,.077036157,.76339918,.44416338,.17311645,.011364415,.42092809,.15516216,.0075211623,3018,1509,139,.2931556382874959
mech,completed_t,asinh_rentin,ipw2014,-.1280138403916554,.096430153,.1866602,.33671913,.13068768,.011096765,.20870529,.088608153,.020000057,2664,1332,131,.2761146246706699
mech,completed_t,asinh_rentin,ipw2014_simple,-.1114184247475973,.096051618,.24818091,.34140813,.13243471,.011053588,.22998971,.09223415,.013903063,2664,1332,131,.2761146246706699
mech,completed_t,asinh_rentin,ipw_simple_x_count,-.0232066517456208,.080547489,.77372026,.34123591,.19388004,.080753662,.31802925,.17684507,.074442126,2664,1332,131,.2761146246706699
mech,completed_t,asinh_rentin,ipw_x_county,-.0427194641664474,.08016973,.59503829,.33776748,.19067645,.078834549,.29504803,.17321599,.090891451,2664,1332,131,.2761146246706699
mech,completed_t,asinh_rentin,overlap2014,-.1398895355399122,.1025402,.17484891,.34849814,.13485652,.010864208,.20860858,.08807081,.019325923,2664,1332,131,.2761146246706699
mech,completed_t,asinh_rentin,overlap_x_county,-.0468201446108504,.085686505,.58571923,.34412706,.1935333,.077720515,.2973069,.17374949,.089443266,2664,1332,131,.2761146246706699
mech,completed_t,asinh_rentin,unweighted,-.0950798517141427,.088666543,.28544319,.46657214,.16005264,.0041503147,.3714923,.13347198,.0061357827,3018,1509,139,.2931556382874959
