sample,outcome,spec,term,b,se,p,N,households,counties,treated_counties
long,asinh_farm_income,stage,stage3_minus_stage2,.2430590433986961,.17502783,.18099335,1987,259,20,
long,asinh_farm_income,stage,stage3_vs0,.21755141260167,.18382557,.25122067,1987,259,20,
long,asinh_farm_income,threshold,hybrid_rate_any_t,.1714803776167579,.13344914,.21424158,1987,259,20,15
long,asinh_farm_income,threshold,hybrid_rate_high_t,.0613073940010693,.20378862,.77564597,386,78,6,3
long,asinh_farm_income,threshold,hybrid_rate_mid_t,-.2985771119235137,.01319616,3.1348202e-06,386,78,6,3
long,asinh_operated_area_end,stage,stage1_vs0,.0552380831577928,.063510761,.39529571,1710,231,20,
long,asinh_operated_area_end,stage,stage2_vs0,.0309586505958133,.050224781,.54494464,1710,231,20,
long,asinh_operated_area_end,stage,stage3_minus_stage1,.0822652985959387,.03992882,.053332768,1710,231,20,
long,asinh_operated_area_end,stage,stage3_minus_stage2,.1065447311579182,.084567264,.22296812,1710,231,20,
long,asinh_operated_area_end,stage,stage3_vs0,.1375033817537314,.050756738,.013914327,1710,231,20,
long,asinh_operated_area_end,threshold,hybrid_rate_any_t,.0950595302250081,.034827631,.013315212,1710,231,20,15
long,asinh_operated_area_end,threshold,hybrid_rate_high_t,.1050909552599128,.04924906,.085982122,340,67,6,3
long,asinh_operated_area_end,threshold,hybrid_rate_mid_t,.0579316934289995,.006641164,.00032783693,340,67,6,3
long,asinh_transfer_in_area_z,stage,stage1_vs0,.0052694362108353,.010793515,.63099205,2287,276,20,
long,asinh_transfer_in_area_z,stage,stage2_vs0,-.0505346548271207,.026273556,.069545127,2287,276,20,
long,asinh_transfer_in_area_z,stage,stage3_minus_stage1,-.0491666785754561,.016128313,.0066113863,2287,276,20,
long,asinh_transfer_in_area_z,stage,stage3_minus_stage2,.0066374124624998,.026697528,.80632585,2287,276,20,
long,asinh_transfer_in_area_z,stage,stage3_vs0,-.0438972423646208,.022697954,.068152674,2287,276,20,
long,asinh_transfer_in_area_z,threshold,hybrid_rate_any_t,-.0429703613253432,.019613899,.041135535,2287,276,20,15
long,asinh_transfer_in_area_z,threshold,hybrid_rate_high_t,.010995461935334,.019079665,.58938658,456,87,6,3
long,asinh_transfer_in_area_z,threshold,hybrid_rate_mid_t,-.0105713766107305,.009408853,.31223238,456,87,6,3
long,farm_income_share,stage,stage1_vs0,.2287110018309422,.025548266,3.0342161e-08,1987,259,20,
long,farm_income_share,stage,stage2_vs0,.0282557067825715,.041425668,.50341809,1987,259,20,
long,farm_income_share,stage,stage3_minus_stage1,-.1454423329703338,.035063535,.00054650323,1987,259,20,
long,farm_income_share,stage,stage3_minus_stage2,.055012962078037,.037857864,.16250095,1987,259,20,
long,farm_income_share,stage,stage3_vs0,.0832686688606084,.047685664,.096925005,1987,259,20,
long,farm_income_share,threshold,hybrid_rate_any_t,.0767990458920056,.039853435,.069063649,1987,259,20,15
long,farm_income_share,threshold,hybrid_rate_high_t,-.0159768475353458,.034414064,.6619786,386,78,6,3
long,farm_income_share,threshold,hybrid_rate_mid_t,-.0663045174636777,.015241208,.0073568113,386,78,6,3
overlap,any_transfer_in_zfill,stage,stage1_vs0,.0109431247464493,.0070344731,.13064018,3707,500,30,
overlap,any_transfer_in_zfill,stage,stage2_vs0,-.0274104410522828,.020865496,.19925459,3707,500,30,
overlap,any_transfer_in_zfill,stage,stage3_minus_stage1,-.0164687578402748,.010163762,.11598385,3707,500,30,
overlap,any_transfer_in_zfill,stage,stage3_minus_stage2,.0218848079584573,.01882861,.25458327,3707,500,30,
overlap,any_transfer_in_zfill,stage,stage3_vs0,-.0055256330938256,.013780424,.69137627,3707,500,30,
overlap,any_transfer_in_zfill,threshold,hybrid_rate_any_t,-.0106833127748138,.013229994,.42594853,3707,500,30,22
overlap,any_transfer_in_zfill,threshold,hybrid_rate_high_t,.0265336658634423,.017356912,.17018251,738,144,8,4
overlap,any_transfer_in_zfill,threshold,hybrid_rate_mid_t,.007701607158284,.0089773014,.41935021,738,144,8,4
overlap,asinh_farm_income,stage,stage1_vs0,.5584732661095031,.091643795,1.2312586e-06,3285,471,30,
overlap,asinh_farm_income,stage,stage2_vs0,.0122091905991003,.14384824,.93294364,3285,471,30,
overlap,asinh_farm_income,stage,stage3_minus_stage1,-.2849050018587064,.111059,.01574303,3285,471,30,
overlap,asinh_farm_income,stage,stage3_minus_stage2,.2613590736516964,.1376138,.067523845,3285,471,30,
overlap,asinh_farm_income,stage,stage3_vs0,.2735682642507967,.13675849,.054900937,3285,471,30,
